benchmark_run_id,experiment_id,config_name,activated_class,benchmark_family,scale_factor,scale_label,mongo_db_name,selected_root,primary_collection,embedding_depth,embedding_variant,embedded_entities,snapshot_entities,referenced_entities,query_name,query_group,run_phase,phase_order,repetition,execution_status,error_message,start_ts,end_ts,latency_ms,success,documents_returned,documents_written,bytes_read_estimate,bytes_written_estimate,experiment_goal,query_group_order,execution_db_name,explain_verbosity,param_json,notes,n_components,sum_execution_time_ms,sum_n_returned,sum_total_docs_examined,sum_total_keys_examined,docs_per_returned_total,keys_per_returned_total,has_ixscan_any,has_collscan_any,has_fetch_any,has_sort_any,has_update_any,has_and_sorted_any,has_or_stage_any,has_projection_any,has_lookup_any,has_group_any,used_disk_any,all_stages,all_index_names,component_collections,unique_component_collection_count,sum_collection_count_unique,sum_collection_size_bytes_unique,sum_collection_storage_size_bytes_unique,sum_collection_total_index_size_bytes_unique,sum_collection_total_size_bytes_unique,max_collection_avg_obj_size_bytes,sum_estimated_docs_examined_bytes,sum_estimated_returned_bytes,estimated_examined_bytes_per_returned,max_docs_examined_collection_ratio,max_index_to_data_size_ratio
watchitem_g4_sf1__primary__QG5_AllPersonsForEpisodesOfSeries__hot__r01,watchitem_g4_sf1,watchitem_g4,G4,associative_family,1.0,sf1,imdb_mongo_sf1_watchitem_g4,WatchItem,watchitems,1,associative_partial,['Role'],[],"['Person', 'Series', 'Episode']",QG5_AllPersonsForEpisodesOfSeries,primary,hot,2,1,completed,,2026-06-02 01:10:06.749050+00:00,2026-06-02 01:10:06.750434+00:00,,,,,,,"Testar a configuração watchitem_g4 (G4) na família associative_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf1,executionStats,"""tt12164062""",,1,0.0,0.0,0.0,0.0,,,False,False,False,False,False,False,False,False,False,False,False,EOF,,episodes,1,0.0,0.0,0.0,0.0,0.0,,,,,,
watchitem_g5_sf1__primary__QG5_AllPersonsForEpisodesOfSeries__hot__r01,watchitem_g5_sf1,watchitem_g5,G5,associative_family,1.0,sf1,imdb_mongo_sf1_watchitem_g5,WatchItem,watchitems,2,associative_snapshot,['Role'],['Person'],"['Series', 'Episode']",QG5_AllPersonsForEpisodesOfSeries,primary,hot,2,1,completed,,2026-06-02 04:20:34.645750+00:00,2026-06-02 04:20:34.647168+00:00,,,,,,,"Testar a configuração watchitem_g5 (G5) na família associative_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf1,executionStats,"""tt12164062""",,1,0.0,0.0,0.0,0.0,,,False,False,False,False,False,False,False,False,False,False,False,EOF,,episodes,1,0.0,0.0,0.0,0.0,0.0,,,,,,
watchitem_g6_sf1__primary__QG5_AllPersonsForEpisodesOfSeries__hot__r01,watchitem_g6_sf1,watchitem_g6,G6,associative_family,1.0,sf1,imdb_mongo_sf1_watchitem_g6,WatchItem,watchitems,2,associative_full,"['Role', 'Person']",[],"['Series', 'Episode']",QG5_AllPersonsForEpisodesOfSeries,primary,hot,2,1,completed,,2026-06-02 07:31:05.088620+00:00,2026-06-02 07:31:05.089445+00:00,,,,,,,"Testar a configuração watchitem_g6 (G6) na família associative_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf1,executionStats,"""tt12164062""",,1,0.0,0.0,0.0,0.0,,,False,False,False,False,False,False,False,False,False,False,False,EOF,,episodes,1,0.0,0.0,0.0,0.0,0.0,,,,,,
