scale_label,collection_name,config_name,documents_inserted,elapsed_seconds
sf0.5,watchitems,watchitem_g2,6067595,891.9739058879204
sf0.5,watchitems,watchitem_g3,6067595,907.0894303550012
sf0.5,watchitems,watchitem_g4,6067595,3143.049361202866
sf0.5,watchitems,watchitem_g5,6067595,3802.8377958529163
sf0.5,watchitems,watchitem_g6,6067595,3801.891795683885
sf0.5,watchitems,watchitem_g0,6067595,854.0681326368358
sf0.5,series,series_g8,230194,284.768546941923
sf0.5,series,series_g9,230194,287.6243744099047
