benchmark_run_id,experiment_id,config_name,activated_class,benchmark_family,scale_factor,scale_label,mongo_db_name,selected_root,primary_collection,embedding_depth,embedding_variant,embedded_entities,snapshot_entities,referenced_entities,query_name,query_group,run_phase,phase_order,repetition,execution_status,error_message,start_ts,end_ts,latency_ms,success,documents_returned,documents_written,bytes_read_estimate,bytes_written_estimate,experiment_goal,query_group_order,execution_db_name,explain_verbosity,param_json,notes,n_components,sum_execution_time_ms,sum_n_returned,sum_total_docs_examined,sum_total_keys_examined,docs_per_returned_total,keys_per_returned_total,has_ixscan_any,has_collscan_any,has_fetch_any,has_sort_any,has_update_any,has_and_sorted_any,has_or_stage_any,has_projection_any,has_lookup_any,has_group_any,used_disk_any,all_stages,all_index_names,component_collections,unique_component_collection_count,sum_collection_count_unique,sum_collection_size_bytes_unique,sum_collection_storage_size_bytes_unique,sum_collection_total_index_size_bytes_unique,sum_collection_total_size_bytes_unique,max_collection_avg_obj_size_bytes,sum_estimated_docs_examined_bytes,sum_estimated_returned_bytes,estimated_examined_bytes_per_returned,max_docs_examined_collection_ratio,max_index_to_data_size_ratio
watchitem_g0_sf0.5__primary__QG4_AllPersonsOfTypeForWatchItem__hot__r01,watchitem_g0_sf0.5,watchitem_g0,G0,root_local_family,0.5,sf0.5,imdb_mongo_sf0.5_watchitem_g0,WatchItem,watchitems,0,baseline_document,[],[],"['Genre', 'Movie', 'Series', 'Episode', 'Role', 'Person']",QG4_AllPersonsOfTypeForWatchItem,primary,hot,2,1,completed,,2026-05-31 10:17:24.293663+00:00,2026-05-31 10:17:24.346848+00:00,,,,,,,"Testar a configuração watchitem_g0 (G0) na família root_local_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_5,executionStats,"{""role_category"": ""actor"", ""watchitem_id"": ""tt0406599""}",,2,24.0,60.0,73.0,82.0,1.2166666666666666,1.3666666666666667,True,False,True,False,False,True,False,False,False,False,False,FETCH|IXSCAN|AND_SORTED,watchitem_id_1|role_category_1|person_id_1,persons|roles,2,35518596.0,6776019597.0,1421946880.0,1875517440.0,3297464320.0,193.0,13828.0,11319.0,230.46666666666667,2.442061414588495e-06,0.282973748328219
watchitem_g0_sf0.5__primary__QG5_AllPersonsForEpisodesOfSeries__hot__r01,watchitem_g0_sf0.5,watchitem_g0,G0,root_local_family,0.5,sf0.5,imdb_mongo_sf0.5_watchitem_g0,WatchItem,watchitems,0,baseline_document,[],[],"['Genre', 'Movie', 'Series', 'Episode', 'Role', 'Person']",QG5_AllPersonsForEpisodesOfSeries,primary,hot,2,1,completed,,2026-05-31 10:17:24.347089+00:00,2026-05-31 10:17:24.413454+00:00,,,,,,,"Testar a configuração watchitem_g0 (G0) na família root_local_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_5,executionStats,"""tt12164062""",,3,32.0,9363.0,9363.0,9535.0,1.0,1.0183701804977037,True,False,True,False,False,False,False,True,False,False,False,PROJECTION_SIMPLE|FETCH|IXSCAN,series_watchitem_id_1|watchitem_id_1|person_id_1,episodes|persons|roles,3,40107733.0,7882504454.0,1664147456.0,2040258560.0,3704406016.0,241.0,2252609.0,2252609.0,240.58624372530173,0.0020260890010474738,0.282973748328219
watchitem_g2_sf0.5__secondary_affected__QG4_AllPersonsOfTypeForWatchItem__hot__r01,watchitem_g2_sf0.5,watchitem_g2,G2,root_local_family,0.5,sf0.5,imdb_mongo_sf0.5_watchitem_g2,WatchItem,watchitems,1,shared_descriptor,['Genre'],[],"['Movie', 'Series', 'Episode']",QG4_AllPersonsOfTypeForWatchItem,secondary_affected,hot,2,1,completed,,2026-05-31 10:32:16.403823+00:00,2026-05-31 10:32:16.415050+00:00,,,,,,,"Testar a configuração watchitem_g2 (G2) na família root_local_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf0_5,executionStats,"{""role_category"": ""actor"", ""watchitem_id"": ""tt0406599""}",,2,0.0,60.0,73.0,82.0,1.2166666666666666,1.3666666666666667,True,False,True,False,False,True,False,False,False,False,False,FETCH|IXSCAN|AND_SORTED,watchitem_id_1|role_category_1|person_id_1,persons|roles,2,35518596.0,6776019597.0,1421946880.0,1875517440.0,3297464320.0,193.0,13828.0,11319.0,230.46666666666667,2.442061414588495e-06,0.282973748328219
watchitem_g2_sf0.5__secondary_affected__QG5_AllPersonsForEpisodesOfSeries__hot__r01,watchitem_g2_sf0.5,watchitem_g2,G2,root_local_family,0.5,sf0.5,imdb_mongo_sf0.5_watchitem_g2,WatchItem,watchitems,1,shared_descriptor,['Genre'],[],"['Movie', 'Series', 'Episode']",QG5_AllPersonsForEpisodesOfSeries,secondary_affected,hot,2,1,completed,,2026-05-31 10:32:16.415218+00:00,2026-05-31 10:32:16.459223+00:00,,,,,,,"Testar a configuração watchitem_g2 (G2) na família root_local_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf0_5,executionStats,"""tt12164062""",,3,13.0,9363.0,9363.0,9535.0,1.0,1.0183701804977037,True,False,True,False,False,False,False,True,False,False,False,PROJECTION_SIMPLE|FETCH|IXSCAN,series_watchitem_id_1|watchitem_id_1|person_id_1,episodes|persons|roles,3,40107733.0,7882504454.0,1664147456.0,2040258560.0,3704406016.0,241.0,2252609.0,2252609.0,240.58624372530173,0.0020260890010474738,0.282973748328219
watchitem_g3_sf0.5__secondary_affected__QG4_AllPersonsOfTypeForWatchItem__hot__r01,watchitem_g3_sf0.5,watchitem_g3,G3,root_local_family,0.5,sf0.5,imdb_mongo_sf0.5_watchitem_g3,WatchItem,watchitems,1,structural_component,"['Episode', 'Movie', 'Series']",[],['Genre'],QG4_AllPersonsOfTypeForWatchItem,secondary_affected,hot,2,1,completed,,2026-05-31 10:47:23.556957+00:00,2026-05-31 10:47:23.566329+00:00,,,,,,,"Testar a configuração watchitem_g3 (G3) na família root_local_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf0_5,executionStats,"{""role_category"": ""actor"", ""watchitem_id"": ""tt0406599""}",,2,0.0,60.0,73.0,82.0,1.2166666666666666,1.3666666666666667,True,False,True,False,False,True,False,False,False,False,False,FETCH|IXSCAN|AND_SORTED,watchitem_id_1|role_category_1|person_id_1,persons|roles,2,35518596.0,6776019597.0,1421946880.0,1875517440.0,3297464320.0,193.0,13828.0,11319.0,230.46666666666667,2.442061414588495e-06,0.282973748328219
watchitem_g3_sf0.5__secondary_affected__QG5_AllPersonsForEpisodesOfSeries__hot__r01,watchitem_g3_sf0.5,watchitem_g3,G3,root_local_family,0.5,sf0.5,imdb_mongo_sf0.5_watchitem_g3,WatchItem,watchitems,1,structural_component,"['Episode', 'Movie', 'Series']",[],['Genre'],QG5_AllPersonsForEpisodesOfSeries,secondary_affected,hot,2,1,completed,,2026-05-31 10:47:23.566453+00:00,2026-05-31 10:47:23.592224+00:00,,,,,,,"Testar a configuração watchitem_g3 (G3) na família root_local_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf0_5,executionStats,"""tt12164062""",,3,7.0,9363.0,9363.0,9535.0,1.0,1.0183701804977037,True,False,True,False,False,False,False,True,False,False,False,PROJECTION_SIMPLE|FETCH|IXSCAN,series_watchitem_id_1|watchitem_id_1|person_id_1,episodes|persons|roles,3,40107733.0,7882504454.0,1664147456.0,2040258560.0,3704406016.0,241.0,2252609.0,2252609.0,240.58624372530173,0.0020260890010474738,0.282973748328219
watchitem_g4_sf0.5__primary__QG4_AllPersonsOfTypeForWatchItem__hot__r01,watchitem_g4_sf0.5,watchitem_g4,G4,associative_family,0.5,sf0.5,imdb_mongo_sf0.5_watchitem_g4,WatchItem,watchitems,1,associative_partial,['Role'],[],"['Person', 'Series', 'Episode']",QG4_AllPersonsOfTypeForWatchItem,primary,hot,2,1,completed,,2026-05-31 11:39:46.650969+00:00,2026-05-31 11:39:46.666138+00:00,,,,,,,"Testar a configuração watchitem_g4 (G4) na família associative_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_5,executionStats,"{""role_category"": ""actor"", ""watchitem_id"": ""tt0406599""}",,2,0.0,10.0,10.0,19.0,1.0,1.9,True,False,True,False,False,False,False,True,False,False,False,LIMIT|PROJECTION_SIMPLE|FETCH|IXSCAN,watchitem_id_1|person_id_1,persons|watchitems,2,9753006.0,7572328206.0,1591042048.0,768012288.0,2359054336.0,1147.0,2623.0,2623.0,262.3,2.442061414588495e-06,0.21399321363721654
watchitem_g4_sf0.5__primary__QG5_AllPersonsForEpisodesOfSeries__hot__r01,watchitem_g4_sf0.5,watchitem_g4,G4,associative_family,0.5,sf0.5,imdb_mongo_sf0.5_watchitem_g4,WatchItem,watchitems,1,associative_partial,['Role'],[],"['Person', 'Series', 'Episode']",QG5_AllPersonsForEpisodesOfSeries,primary,hot,2,1,completed,,2026-05-31 11:39:46.666357+00:00,2026-05-31 11:39:46.717220+00:00,,,,,,,"Testar a configuração watchitem_g4 (G4) na família associative_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_5,executionStats,"""tt12164062""",,3,15.0,9824.0,9824.0,9997.0,1.0,1.0176099348534202,True,False,True,False,False,False,False,True,False,False,False,PROJECTION_SIMPLE|FETCH|IXSCAN,series_watchitem_id_1|watchitem_id_1|person_id_1,episodes|persons|watchitems,3,14342143.0,8678813063.0,1833242624.0,932753408.0,2765996032.0,1147.0,2818582.0,2818582.0,286.9077768729642,0.0020260890010474738,0.21399321363721654
watchitem_g5_sf0.5__primary__QG4_AllPersonsOfTypeForWatchItem__hot__r01,watchitem_g5_sf0.5,watchitem_g5,G5,associative_family,0.5,sf0.5,imdb_mongo_sf0.5_watchitem_g5,WatchItem,watchitems,2,associative_snapshot,['Role'],['Person'],"['Series', 'Episode']",QG4_AllPersonsOfTypeForWatchItem,primary,hot,2,1,completed,,2026-05-31 12:43:09.563084+00:00,2026-05-31 12:43:09.570617+00:00,,,,,,,"Testar a configuração watchitem_g5 (G5) na família associative_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_5,executionStats,"{""role_category"": ""actor"", ""watchitem_id"": ""tt0406599""}",,1,0.0,1.0,1.0,1.0,1.0,1.0,True,False,True,False,False,False,False,True,False,False,False,LIMIT|PROJECTION_SIMPLE|FETCH|IXSCAN,watchitem_id_1,watchitems,1,6067595.0,10587168437.0,2200002560.0,637997056.0,2837999616.0,1744.0,1744.0,1744.0,1744.0,1.6480994529133867e-07,0.0602613493680076
watchitem_g5_sf0.5__primary__QG5_AllPersonsForEpisodesOfSeries__hot__r01,watchitem_g5_sf0.5,watchitem_g5,G5,associative_family,0.5,sf0.5,imdb_mongo_sf0.5_watchitem_g5,WatchItem,watchitems,2,associative_snapshot,['Role'],['Person'],"['Series', 'Episode']",QG5_AllPersonsForEpisodesOfSeries,primary,hot,2,1,completed,,2026-05-31 12:43:09.570738+00:00,2026-05-31 12:43:09.598888+00:00,,,,,,,"Testar a configuração watchitem_g5 (G5) na família associative_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_5,executionStats,"""tt12164062""",,2,8.0,9798.0,9798.0,9947.0,1.0,1.0152071851398246,True,False,True,False,False,False,False,True,False,False,False,PROJECTION_SIMPLE|FETCH|IXSCAN,series_watchitem_id_1|watchitem_id_1,episodes|watchitems,2,10656732.0,11693653294.0,2442203136.0,802738176.0,3244941312.0,1744.0,3112818.0,3112818.0,317.69932639314146,0.0020260890010474738,0.1488869178441906
