relationship_name,parent_collection,lookup_from,local_field,foreign_field,embedded_field,status,elapsed_seconds
transaction_refers_to_listed_security,lmm_transaction,lmm_listed_security,REFERSTO,LISTEDSECURITYID,listed_security,completed,0.44998764991760254
financial_report_contains_report_element,lmm_financial_report,lmm_report_element,FINANCIALREPORTID,ISMEMBEROF,report_element,completed,0.5458600521087646
account_has_holding,lmm_financial_service_account,_src_fiben_holdings,FINANCIALSERVICEACCOUNTID,ISHELDBY,holding,completed,0.6082520484924316
account_records_transaction,lmm_financial_service_account,lmm_transaction,FINANCIALSERVICEACCOUNTID,ISFACILITATEDBY,transaction,completed,0.35466766357421875
person_owns_financial_service_account,lmm_person,lmm_financial_service_account,PERSONID,ISOWNEDBY,financial_service_account,completed,0.5673129558563232
corporation_has_country,lmm_corporation,_src_fiben_countries,ISDOMICILEDIN,COUNTRYID,country,completed,0.6814899444580078
corporation_has_industry,lmm_corporation,_src_fiben_industries,ISCLASSIFIEDBY,INDUSTRYSECTORCLASSIFIERID,industry,completed,0.7096009254455566
corporation_has_financial_report,lmm_corporation,lmm_financial_report,CORPORATIONID,ISPROVIDEDBY,financial_report,completed,0.7303695678710938
holding_refers_to_listed_security,lmm_listed_security,_src_fiben_holdings,LISTEDSECURITYID,REFERSTO,holding,completed,0.46515989303588867
