scale_label,official_id,query_name,run_phase,candidate_count,global_best_candidate_id,global_best_g_class,global_best_group,global_best_p95_latency_ms,activated_best_candidate_id,activated_best_g_class,activated_best_group,activated_best_p95_latency_ms,activated_regret,primary_best_candidate_id,primary_best_g_class,primary_best_p95_latency_ms,primary_regret,secondary_best_candidate_id,secondary_best_g_class,secondary_best_p95_latency_ms,control_best_candidate_id,control_best_g_class,control_best_p95_latency_ms,activated_top1_preserved,primary_top1_preserved
sf0.1,INS3,INS3_AddLikeToComment,cold,2,ldbc_snb_ins3_g6_c1c01729,G6,primary,1.1939417337998748,ldbc_snb_ins3_g6_c1c01729,G6,primary,1.1939417337998748,0.0,ldbc_snb_ins3_g6_c1c01729,G6,1.1939417337998748,0.0,,,,,,,True,True
sf0.1,INS3,INS3_AddLikeToComment,hot,2,ldbc_snb_ins3_g6_c1c01729,G6,primary,1.3003105064854026,ldbc_snb_ins3_g6_c1c01729,G6,primary,1.3003105064854026,0.0,ldbc_snb_ins3_g6_c1c01729,G6,1.3003105064854026,0.0,,,,,,,True,True
sf0.1,INS4,INS4_AddForum,cold,2,ldbc_snb_ins4_g3_b5f0ac72,G3,primary,1.2362540932372212,ldbc_snb_ins4_g3_b5f0ac72,G3,primary,1.2362540932372212,0.0,ldbc_snb_ins4_g3_b5f0ac72,G3,1.2362540932372212,0.0,,,,,,,True,True
sf0.1,INS4,INS4_AddForum,hot,2,ldbc_snb_ins4_g0_63b0def3,G0,primary,1.9892216660082336,ldbc_snb_ins4_g0_63b0def3,G0,primary,1.9892216660082336,0.0,ldbc_snb_ins4_g0_63b0def3,G0,1.9892216660082336,0.0,,,,,,,True,True
sf0.1,INS5,INS5_AddForumMembership,cold,2,ldbc_snb_ins5_g6_9496cfdb,G6,primary,1.2291144579648972,ldbc_snb_ins5_g6_9496cfdb,G6,primary,1.2291144579648972,0.0,ldbc_snb_ins5_g6_9496cfdb,G6,1.2291144579648972,0.0,,,,,,,True,True
sf0.1,INS5,INS5_AddForumMembership,hot,2,ldbc_snb_ins5_g6_9496cfdb,G6,primary,0.6517352303490043,ldbc_snb_ins5_g6_9496cfdb,G6,primary,0.6517352303490043,0.0,ldbc_snb_ins5_g6_9496cfdb,G6,0.6517352303490043,0.0,,,,,,,True,True
sf0.1,INS6,INS6_AddPost,cold,4,ldbc_snb_ins6_g7_2ba4aefb,G7,secondary_affected,1.0043935384601357,ldbc_snb_ins6_g7_2ba4aefb,G7,secondary_affected,1.0043935384601357,0.0,ldbc_snb_ins6_g3_d110d93b,G3,1.7640818608924738,0.7563652028238232,ldbc_snb_ins6_g7_2ba4aefb,G7,1.0043935384601357,,,,True,False
sf0.1,INS6,INS6_AddPost,hot,4,ldbc_snb_ins6_g7_2ba4aefb,G7,secondary_affected,1.562038459815085,ldbc_snb_ins6_g7_2ba4aefb,G7,secondary_affected,1.562038459815085,0.0,ldbc_snb_ins6_g0_50983b9d,G0,2.2412465652450915,0.4348216275740174,ldbc_snb_ins6_g7_2ba4aefb,G7,1.562038459815085,,,,True,False
sf0.1,INS7,INS7_AddComment,cold,4,ldbc_snb_ins7_g7_c86de251,G7,secondary_affected,1.6135745216161013,ldbc_snb_ins7_g7_c86de251,G7,secondary_affected,1.6135745216161013,0.0,ldbc_snb_ins7_g3_e7300dd8,G3,1.853841613046825,0.14890362249279962,ldbc_snb_ins7_g7_c86de251,G7,1.6135745216161013,,,,True,False
sf0.1,INS7,INS7_AddComment,hot,4,ldbc_snb_ins7_g7_c86de251,G7,secondary_affected,1.1086300713941457,ldbc_snb_ins7_g7_c86de251,G7,secondary_affected,1.1086300713941457,0.0,ldbc_snb_ins7_g3_e7300dd8,G3,1.5099846990779038,0.36202754917069757,ldbc_snb_ins7_g7_c86de251,G7,1.1086300713941457,,,,True,False
sf0.1,INS8,INS8_AddFriendship,cold,2,ldbc_snb_ins8_g0_2acc6939,G0,primary,0.9142938302829856,ldbc_snb_ins8_g0_2acc6939,G0,primary,0.9142938302829856,0.0,ldbc_snb_ins8_g0_2acc6939,G0,0.9142938302829856,0.0,,,,,,,True,True
