candidate_id,official_id,query_name,benchmark_group,g_class,mongodb_pattern,document_strategy,db_name,run_phase,successful_runs,failed_runs,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,stddev_latency_ms,min_latency_ms,max_latency_ms,avg_documents_returned,documents_written,semantic_warning,source_folder,scale_label,source_file,near_best_threshold_pct,global_best_p95_latency_ms,near_best_regret
ldbc_snb_ic3_g0_f7817cbe,IC3,IC3_FriendsAndFriendsOfFriendsInCountries,primary,G0,root_with_references,reference,ldbc_snb_phys_sf0_1_ldbc_snb_ic3_g0_f7817cbe,hot,10,0,436.3940821029246,466.3493039552122,673.5605218680575,682.9547649854794,218.4439034095741,108.2561402581632,685.3033257648349,20.0,0.0,,ic3_hot,sf0.1,benchmark/ldbc_snb/physical_benchmark/ldbc_snb_sf0_1_full_10cold_10hot/consolidated/ldbc_snb_sf0_1_10cold_10hot_benchmark_aggregate_results.csv,0.05,645.5053343670442,0.0434623635272095
ldbc_snb_ic4_g3_00df9f3e,IC4,IC4_NewTopics,primary,G3,root_with_references_or_summaries,reference_summary,ldbc_snb_phys_sf0_1_ldbc_snb_ic4_g3_00df9f3e,cold,10,0,9.103831741958857,8.455927483737469,14.651709143072363,16.237192396074533,3.466942586337313,5.176278296858072,16.633563209325075,20.0,0.0,,ic4_cold,sf0.1,benchmark/ldbc_snb/physical_benchmark/ldbc_snb_sf0_1_full_10cold_10hot/consolidated/ldbc_snb_sf0_1_10cold_10hot_benchmark_aggregate_results.csv,0.05,14.651709143072363,0.0
ldbc_snb_ic4_g0_54d8940c,IC4,IC4_NewTopics,primary,G0,root_with_references,reference,ldbc_snb_phys_sf0_1_ldbc_snb_ic4_g0_54d8940c,hot,10,0,9.93643356487155,8.351674536243081,15.355125255882738,15.80336730927229,3.5339283672762187,6.380685139447451,15.915427822619677,20.0,0.0,,ic4_hot,sf0.1,benchmark/ldbc_snb/physical_benchmark/ldbc_snb_sf0_1_full_10cold_10hot/consolidated/ldbc_snb_sf0_1_10cold_10hot_benchmark_aggregate_results.csv,0.05,15.355125255882738,0.0
ldbc_snb_ic4_g3_00df9f3e,IC4,IC4_NewTopics,primary,G3,root_with_references_or_summaries,reference_summary,ldbc_snb_phys_sf0_1_ldbc_snb_ic4_g3_00df9f3e,hot,10,0,10.758760524913669,10.363394394516945,15.483193006366491,15.678141992539167,3.599672788564768,6.978404242545366,15.726879239082336,20.0,0.0,,ic4_hot,sf0.1,benchmark/ldbc_snb/physical_benchmark/ldbc_snb_sf0_1_full_10cold_10hot/consolidated/ldbc_snb_sf0_1_10cold_10hot_benchmark_aggregate_results.csv,0.05,15.355125255882738,0.008340391129970674
ldbc_snb_ic5_g7_a2002d4c,IC5,IC5_NewGroups,secondary_affected,G7,containment_baseline,containment_reference,ldbc_snb_phys_sf0_1_ldbc_snb_ic5_g7_a2002d4c,cold,10,0,2519.261548528448,2704.670225502923,2917.379896575585,2918.4652923513204,469.462845043776,1658.9671736583114,2918.7366412952542,20.0,0.0,,ic5_cold,sf0.1,benchmark/ldbc_snb/physical_benchmark/ldbc_snb_sf0_1_full_10cold_10hot/consolidated/ldbc_snb_sf0_1_10cold_10hot_benchmark_aggregate_results.csv,0.05,2917.379896575585,0.0
ldbc_snb_ic5_g9_7a7a63d2,IC5,IC5_NewGroups,secondary_affected,G9,hybrid_containment,hybrid_embed_reference_summary,ldbc_snb_phys_sf0_1_ldbc_snb_ic5_g9_7a7a63d2,cold,10,0,2481.2823681160808,2603.334945626557,2954.909765161574,2958.1431144848466,529.2243889605124,1498.067446984351,2958.9514518156648,20.0,0.0,,ic5_cold,sf0.1,benchmark/ldbc_snb/physical_benchmark/ldbc_snb_sf0_1_full_10cold_10hot/consolidated/ldbc_snb_sf0_1_10cold_10hot_benchmark_aggregate_results.csv,0.05,2917.379896575585,0.012864237746356368
ldbc_snb_ic5_g3_45734260,IC5,IC5_NewGroups,primary,G3,root_with_references_or_summaries,reference_summary,ldbc_snb_phys_sf0_1_ldbc_snb_ic5_g3_45734260,cold,10,0,2480.489875515923,2472.6186459884048,2956.633177446201,2968.785806158557,412.1154000295776,1785.7120553962886,2971.8239633366466,20.0,0.0,,ic5_cold,sf0.1,benchmark/ldbc_snb/physical_benchmark/ldbc_snb_sf0_1_full_10cold_10hot/consolidated/ldbc_snb_sf0_1_10cold_10hot_benchmark_aggregate_results.csv,0.05,2917.379896575585,0.013454977501110297
ldbc_snb_ic5_g4_69144c92,IC5,IC5_NewGroups,secondary_affected,G4,explicit_edge_collection,edge_document,ldbc_snb_phys_sf0_1_ldbc_snb_ic5_g4_69144c92,cold,10,0,2571.625302871689,2765.728866914287,2984.3664654996246,2985.147193847224,452.56702040462847,1745.9630840457976,2985.342375934124,20.0,0.0,,ic5_cold,sf0.1,benchmark/ldbc_snb/physical_benchmark/ldbc_snb_sf0_1_full_10cold_10hot/consolidated/ldbc_snb_sf0_1_10cold_10hot_benchmark_aggregate_results.csv,0.05,2917.379896575585,0.022961208789663734
ldbc_snb_ic5_g3_45734260,IC5,IC5_NewGroups,primary,G3,root_with_references_or_summaries,reference_summary,ldbc_snb_phys_sf0_1_ldbc_snb_ic5_g3_45734260,hot,10,0,2493.3635458815843,2611.1098469700664,2962.312255683355,2977.7558078384027,484.79318536821535,1626.9427961669862,2981.6166958771646,20.0,0.0,,ic5_hot,sf0.1,benchmark/ldbc_snb/physical_benchmark/ldbc_snb_sf0_1_full_10cold_10hot/consolidated/ldbc_snb_sf0_1_10cold_10hot_benchmark_aggregate_results.csv,0.05,2962.312255683355,0.0
ldbc_snb_ic5_g7_a2002d4c,IC5,IC5_NewGroups,secondary_affected,G7,containment_baseline,containment_reference,ldbc_snb_phys_sf0_1_ldbc_snb_ic5_g7_a2002d4c,hot,10,0,2446.3477490469813,2458.066268824041,2992.5457099685445,3054.966700267978,520.8423948793761,1480.1650801673532,3070.5719478428364,20.0,0.0,,ic5_hot,sf0.1,benchmark/ldbc_snb/physical_benchmark/ldbc_snb_sf0_1_full_10cold_10hot/consolidated/ldbc_snb_sf0_1_10cold_10hot_benchmark_aggregate_results.csv,0.05,2962.312255683355,0.01020603220581659
