scale_label,run_phase,query_count,activated_top1_preservation,primary_top1_preservation,mean_activated_regret,mean_primary_regret,primary_winners,secondary_affected_winners,control_winners
sf0.1,hot,22,0.9545454545454546,0.7727272727272727,5.520375879471795e-06,0.0650758840598822,17,4,1
sf1,hot,22,0.9545454545454546,0.6363636363636364,0.0018977776720391552,0.052093225059842,14,7,1
sf3,hot,22,0.9545454545454546,0.6363636363636364,0.0014729122523071763,0.04111851529623232,14,7,1
