scale_label,official_id,query_name,candidate_id_benchmark,g_class,benchmark_group,p95_latency_ms,avg_latency_ms,component_count,total_docs_examined,total_keys_examined,total_n_returned,total_execution_time_millis,has_IXSCAN,has_COLLSCAN,has_FETCH,has_SORT,has_LOOKUP,has_GROUP,has_UNWIND,used_disk_any,stage_list,index_names,collection_names
sf0.1,IS1,IS1_ProfileOfPerson,ldbc_snb_is1_g3_6c817501,G3,primary,0.3323353128507733,0.1944968476891517,1.0,1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,DB|EQ|EXPRESS_IXSCAN,person_id_1,ldbc_snb_phys_sf0_1_ldbc_snb_is1_g3_6c817501.persons
sf0.1,IS2,IS2_RecentMessagesOfPerson,ldbc_snb_is2_g9_b1df45f6,G9,secondary_affected,1.3761401642113915,0.8636010345071554,2.0,412.0,412.0,40.0,0.0,True,False,True,True,False,False,False,False,DB|EQ|FETCH|IXSCAN|LIMIT|SORT,creation_date_1|creator_person_id_1,ldbc_snb_phys_sf0_1_ldbc_snb_is2_g9_b1df45f6.comments|ldbc_snb_phys_sf0_1_ldbc_snb_is2_g9_b1df45f6.posts
sf0.1,IS3,IS3_FriendsOfPerson,ldbc_snb_is3_g3_ebc00ba6,G3,primary,0.7041530450806022,0.634025176987052,2.0,3.0,3.0,3.0,0.0,True,False,True,False,False,False,False,False,DB|EQ|FETCH|IXSCAN|LIMIT,person1_id_1|person2_id_1,ldbc_snb_phys_sf0_1_ldbc_snb_is3_g3_ebc00ba6.person_knows_person
sf0.1,IS4,IS4_ContentOfMessage,ldbc_snb_is4_g0_103e0c60,G0,control,93.52295123972,92.14935144409536,2.0,1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,DB|EQ|EXPRESS_IXSCAN,comment_id_1|post_id_1,ldbc_snb_phys_sf0_1_ldbc_snb_is4_g0_103e0c60.comments|ldbc_snb_phys_sf0_1_ldbc_snb_is4_g0_103e0c60.posts
sf0.1,IS5,IS5_CreatorOfMessage,ldbc_snb_is5_g0_0e8582ef,G0,primary,1.2501776451244946,0.9731917176395656,2.0,1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,DB|EQ|EXPRESS_IXSCAN,comment_id_1|post_id_1,ldbc_snb_phys_sf0_1_ldbc_snb_is5_g0_0e8582ef.comments|ldbc_snb_phys_sf0_1_ldbc_snb_is5_g0_0e8582ef.posts
sf0.1,IS6,IS6_ForumOfMessage,ldbc_snb_is6_g9_c7584187,G9,primary,94.48190636467189,87.3316231649369,4.0,1.0,1.0,1.0,0.0,True,False,True,False,False,False,False,False,DB|EQ|EXPRESS_IXSCAN|FETCH|IXSCAN|LIMIT,comment_id_1|post_id_1,ldbc_snb_phys_sf0_1_ldbc_snb_is6_g9_c7584187.comment_has_tag|ldbc_snb_phys_sf0_1_ldbc_snb_is6_g9_c7584187.comments|ldbc_snb_phys_sf0_1_ldbc_snb_is6_g9_c7584187.post_has_tag|ldbc_snb_phys_sf0_1_ldbc_snb_is6_g9_c7584187.posts
sf0.1,IS7,IS7_RepliesOfMessage,ldbc_snb_is7_g9_392f7469,G9,secondary_affected,0.874050357379019,0.6840457208454609,4.0,4.0,4.0,4.0,0.0,True,False,True,False,False,False,False,False,DB|EQ|FETCH|IXSCAN|LIMIT|OR|SUBPLAN,comment_id_1|parent_comment_id_1|post_id_1|reply_comment_id_1|reply_post_id_1,ldbc_snb_phys_sf0_1_ldbc_snb_is7_g9_392f7469.comment_reply_of_comment|ldbc_snb_phys_sf0_1_ldbc_snb_is7_g9_392f7469.comment_reply_of_post|ldbc_snb_phys_sf0_1_ldbc_snb_is7_g9_392f7469.comments
sf1,IC1,IC1_TransitiveFriendsWithName,ldbc_snb_ic1_g0_6aac8974,G0,primary,2827.2060004761443,2287.7936359960586,4.0,10.0,10.0,10.0,0.0,True,False,True,False,False,False,False,False,DB|EQ|EXPRESS_IXSCAN|FETCH|IXSCAN|LIMIT,first_name_1|person1_id_1|person2_id_1|person_id_1,ldbc_snb_phys_sf1_sf1_ldbc_snb_ic1_g0_6aac8974.person_knows_person|ldbc_snb_phys_sf1_sf1_ldbc_snb_ic1_g0_6aac8974.persons
sf1,IC2,IC2_RecentMessagesByFriends,ldbc_snb_ic2_g3_8f05f032,G3,primary,16.605158452875912,15.177175169810653,7.0,6688.0,6693.0,44.0,27.0,True,False,True,True,False,False,False,False,DB|EQ|EXPRESS_IXSCAN|FETCH|IN|IXSCAN|LIMIT|SORT,creation_date_1|creator_person_id_1|person2_id_1|root_id_1,ldbc_snb_phys_sf1_sf1_ldbc_snb_ic2_g3_8f05f032.comments|ldbc_snb_phys_sf1_sf1_ldbc_snb_ic2_g3_8f05f032.person_knows_person|ldbc_snb_phys_sf1_sf1_ldbc_snb_ic2_g3_8f05f032.phys_ldbc_snb_ic2_g3_8f05f032_root_summary|ldbc_snb_phys_sf1_sf1_ldbc_snb_ic2_g3_8f05f032.posts
sf1,IC3,IC3_FriendsAndFriendsOfFriendsInCountries,ldbc_snb_ic3_g7_a1750f34,G7,secondary_affected,3664.1984829446296,2764.4905819557607,3.0,6.0,6.0,6.0,0.0,True,False,True,False,False,False,False,False,DB|EQ|EXPRESS_IXSCAN|FETCH|IXSCAN|LIMIT,person1_id_1|person2_id_1|person_id_1,ldbc_snb_phys_sf1_sf1_ldbc_snb_ic3_g7_a1750f34.person_knows_person|ldbc_snb_phys_sf1_sf1_ldbc_snb_ic3_g7_a1750f34.persons
