scale_label,global_winner,global_winner_p95_ms,ablation,remaining_space,choice_g,choice_p95_ms,delta_ms,regret,top1_preserved
sf0.1,G3,0.7809062954038382,full SchemaLens,"G0,G3,G4,G6",G3,0.7809062954038382,0.0,0.0,True
sf0.1,G3,0.7809062954038382,no-depth,"G0,G6",G6,0.8410456357523799,0.06013934034854174,0.07701223655450397,False
sf0.1,G3,0.7809062954038382,no-rel.-semantics-no-depth,G0,G0,3.538681403733788,2.75777510832995,3.5315057959723495,False
sf0.1,G3,0.7809062954038382,no-relationship-semantics,G0,G0,3.538681403733788,2.75777510832995,3.5315057959723495,False
sf0.1,G3,0.7809062954038382,no-residual-traversal,"G0,G6",G6,0.8410456357523799,0.06013934034854174,0.07701223655450397,False
sf0.1,G3,0.7809062954038382,no-sharedness,"G0,G4",G4,0.9544996311888096,0.1735933357849715,0.22229726768331323,False
sf0.1,G3,0.7809062954038382,no-update-volatility,"G0,G4,G6",G6,0.8410456357523799,0.06013934034854174,0.07701223655450397,False
sf1,G6,1.1722147930413485,full SchemaLens,"G0,G3,G4,G6",G6,1.1722147930413485,0.0,0.0,True
sf1,G6,1.1722147930413485,no-depth,"G0,G6",G6,1.1722147930413485,0.0,0.0,True
sf1,G6,1.1722147930413485,no-rel.-semantics-no-depth,G0,G0,3.5792393609881383,2.40702456794679,2.053398901153336,False
sf1,G6,1.1722147930413485,no-relationship-semantics,G0,G0,3.5792393609881383,2.40702456794679,2.053398901153336,False
sf1,G6,1.1722147930413485,no-residual-traversal,"G0,G6",G6,1.1722147930413485,0.0,0.0,True
sf1,G6,1.1722147930413485,no-sharedness,"G0,G4",G4,2.108126645907758,0.9359118528664094,0.7984132758111305,False
sf1,G6,1.1722147930413485,no-update-volatility,"G0,G4,G6",G6,1.1722147930413485,0.0,0.0,True
sf3,G3,0.8586212992668152,full SchemaLens,"G0,G3,G4,G6",G3,0.8586212992668152,0.0,0.0,True
sf3,G3,0.8586212992668152,no-depth,"G0,G6",G6,1.5853565651923418,0.7267352659255266,0.8463979015499531,False
sf3,G3,0.8586212992668152,no-rel.-semantics-no-depth,G0,G0,5.043092439882456,4.184471140615641,4.873476984776409,False
sf3,G3,0.8586212992668152,no-relationship-semantics,G0,G0,5.043092439882456,4.184471140615641,4.873476984776409,False
sf3,G3,0.8586212992668152,no-residual-traversal,"G0,G6",G6,1.5853565651923418,0.7267352659255266,0.8463979015499531,False
sf3,G3,0.8586212992668152,no-sharedness,"G0,G4",G4,1.784709352068603,0.9260880528017879,1.0785756812608576,False
sf3,G3,0.8586212992668152,no-update-volatility,"G0,G4,G6",G6,1.5853565651923418,0.7267352659255266,0.8463979015499531,False
