relationship_name,parent_collection,lookup_from,local_field,foreign_field,embedded_field,status,elapsed_seconds
transaction_refers_to_listed_security,lmm_transaction,lmm_listed_security,REFERSTO,LISTEDSECURITYID,listed_security,completed,28.589812755584717
financial_report_contains_report_element,lmm_financial_report,lmm_report_element,FINANCIALREPORTID,ISMEMBEROF,report_element,completed,23.43408703804016
account_has_holding,lmm_financial_service_account,_src_fiben_holdings,FINANCIALSERVICEACCOUNTID,ISHELDBY,holding,completed,7.109919309616089
account_records_transaction,lmm_financial_service_account,lmm_transaction,FINANCIALSERVICEACCOUNTID,ISFACILITATEDBY,transaction,completed,8.827649116516113
person_owns_financial_service_account,lmm_person,lmm_financial_service_account,PERSONID,ISOWNEDBY,financial_service_account,completed,3.9761478900909424
corporation_has_country,lmm_corporation,_src_fiben_countries,ISDOMICILEDIN,COUNTRYID,country,completed,0.15561604499816895
corporation_has_industry,lmm_corporation,_src_fiben_industries,ISCLASSIFIEDBY,INDUSTRYSECTORCLASSIFIERID,industry,completed,0.15132761001586914
corporation_has_financial_report,lmm_corporation,lmm_financial_report,CORPORATIONID,ISPROVIDEDBY,financial_report,completed,5.803867816925049
holding_refers_to_listed_security,lmm_listed_security,_src_fiben_holdings,LISTEDSECURITYID,REFERSTO,holding,completed,1.8951165676116943
