method,n_queries,n_completed,total_docs_examined,total_keys_examined,n_collscan,n_ixscan,n_lookup,n_group,n_unwind
LimaMello2015,9,9,22410,1889,1,8,3,3,6
SchemaLens,9,9,15866,14938,2,0,0,3,0
