method,n_queries,total_docs_examined,total_keys_examined,n_ixscan,n_collscan,n_lookup,n_group,n_unwind
LimaMello2015,9,22410,1889,8,1,3,3,6
SchemaLens,9,15866,14938,9,2,0,3,0
