benchmark_run_id,experiment_id,config_name,activated_class,benchmark_family,scale_factor,scale_label,mongo_db_name,selected_root,primary_collection,embedding_depth,embedding_variant,embedded_entities,snapshot_entities,referenced_entities,query_name,query_group,run_phase,phase_order,repetition,execution_status,error_message,start_ts,end_ts,latency_ms,success,documents_returned,documents_written,bytes_read_estimate,bytes_written_estimate,experiment_goal,query_group_order,execution_db_name,explain_verbosity,param_json,notes,n_components,sum_execution_time_ms,sum_n_returned,sum_total_docs_examined,sum_total_keys_examined,docs_per_returned_total,keys_per_returned_total,has_ixscan_any,has_collscan_any,has_fetch_any,has_sort_any,has_update_any,has_and_sorted_any,has_or_stage_any,has_projection_any,has_lookup_any,has_group_any,used_disk_any,all_stages,all_index_names,component_collections,unique_component_collection_count,sum_collection_count_unique,sum_collection_size_bytes_unique,sum_collection_storage_size_bytes_unique,sum_collection_total_index_size_bytes_unique,sum_collection_total_size_bytes_unique,max_collection_avg_obj_size_bytes,sum_estimated_docs_examined_bytes,sum_estimated_returned_bytes,estimated_examined_bytes_per_returned,max_docs_examined_collection_ratio,max_index_to_data_size_ratio
watchitem_g2_sf0.5__secondary_affected__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g2_sf0.5,watchitem_g2,G2,root_local_family,0.5,sf0.5,imdb_mongo_sf0.5_watchitem_g2,WatchItem,watchitems,1,shared_descriptor,['Genre'],[],"['Movie', 'Series', 'Episode']",QG8_AddPersonRoleToWatchItem,secondary_affected,hot,2,1,completed,,2026-05-30 08:09:31.671207+00:00,2026-05-30 08:09:31.672407+00:00,,,,,,,"Testar a configuração watchitem_g2 (G2) na família root_local_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf0_5,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,2,,,,,,,False,False,False,False,False,False,False,False,False,False,False,,,persons|roles,2,0.0,0.0,0.0,0.0,0.0,,,,,,
watchitem_g3_sf0.5__secondary_affected__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g3_sf0.5,watchitem_g3,G3,root_local_family,0.5,sf0.5,imdb_mongo_sf0.5_watchitem_g3,WatchItem,watchitems,1,structural_component,"['Episode', 'Movie', 'Series']",[],['Genre'],QG8_AddPersonRoleToWatchItem,secondary_affected,hot,2,1,completed,,2026-05-30 08:22:19.973692+00:00,2026-05-30 08:22:19.974908+00:00,,,,,,,"Testar a configuração watchitem_g3 (G3) na família root_local_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf0_5,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,2,,,,,,,False,False,False,False,False,False,False,False,False,False,False,,,persons|roles,2,0.0,0.0,0.0,0.0,0.0,,,,,,
watchitem_g4_sf0.5__primary__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g4_sf0.5,watchitem_g4,G4,associative_family,0.5,sf0.5,imdb_mongo_sf0.5_watchitem_g4,WatchItem,watchitems,1,associative_partial,['Role'],[],"['Person', 'Series', 'Episode']",QG8_AddPersonRoleToWatchItem,primary,hot,2,1,completed,,2026-05-30 09:10:03.605036+00:00,2026-05-30 09:10:03.617735+00:00,,,,,,,"Testar a configuração watchitem_g4 (G4) na família associative_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_5,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,3,0.0,0.0,1.0,1.0,,,True,False,True,False,True,False,False,False,False,False,False,UPDATE|FETCH|IXSCAN,watchitem_id_1,persons|roles|watchitems,3,6067595.0,6964646281.0,1422409728.0,637820928.0,2060230656.0,1147.0,1147.0,0.0,,1.6480994529133867e-07,0.09157980208413688
watchitem_g5_sf0.5__primary__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g5_sf0.5,watchitem_g5,G5,associative_family,0.5,sf0.5,imdb_mongo_sf0.5_watchitem_g5,WatchItem,watchitems,2,associative_snapshot,['Role'],['Person'],"['Series', 'Episode']",QG8_AddPersonRoleToWatchItem,primary,hot,2,1,completed,,2026-05-30 10:07:27.053903+00:00,2026-05-30 10:07:27.065897+00:00,,,,,,,"Testar a configuração watchitem_g5 (G5) na família associative_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_5,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,3,0.0,0.0,1.0,1.0,,,True,False,True,False,True,False,False,False,False,False,False,UPDATE|FETCH|IXSCAN,watchitem_id_1,persons|roles|watchitems,3,6067595.0,10587168437.0,2200199168.0,637915136.0,2838114304.0,1744.0,1744.0,0.0,,1.6480994529133867e-07,0.060253611699481076
watchitem_g6_sf0.5__primary__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g6_sf0.5,watchitem_g6,G6,associative_family,0.5,sf0.5,imdb_mongo_sf0.5_watchitem_g6,WatchItem,watchitems,2,associative_full,"['Role', 'Person']",[],"['Series', 'Episode']",QG8_AddPersonRoleToWatchItem,primary,hot,2,1,completed,,2026-05-30 11:04:54.625592+00:00,2026-05-30 11:04:54.638692+00:00,,,,,,,"Testar a configuração watchitem_g6 (G6) na família associative_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_5,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,3,0.0,0.0,1.0,1.0,,,True,False,True,False,True,False,False,False,False,False,False,UPDATE|FETCH|IXSCAN,watchitem_id_1,persons|roles|watchitems,3,6067595.0,13346555506.0,2810281984.0,638017536.0,3448299520.0,2199.0,2199.0,0.0,,1.6480994529133867e-07,0.047803909833752725
series_g7_sf0.5__control__QG8_AddPersonRoleToWatchItem__hot__r01,series_g7_sf0.5,series_g7,G7,containment_family,0.5,sf0.5,imdb_mongo_sf0.5_series_g7,Series,series,0,containment_baseline,[],[],['Episode'],QG8_AddPersonRoleToWatchItem,control,hot,2,1,completed,,2026-05-30 11:16:41.021835+00:00,2026-05-30 11:16:41.022530+00:00,,,,,,,"Testar a configuração series_g7 (G7) na família containment_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_5,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,2,,,,,,,False,False,False,False,False,False,False,False,False,False,False,,,persons|roles,2,0.0,0.0,0.0,0.0,0.0,,,,,,
series_g8_sf0.5__control__QG8_AddPersonRoleToWatchItem__hot__r01,series_g8_sf0.5,series_g8,G8,containment_family,0.5,sf0.5,imdb_mongo_sf0.5_series_g8,Series,series,1,containment_reduced,['Episode'],[],[],QG8_AddPersonRoleToWatchItem,control,hot,2,1,completed,,2026-05-30 11:21:28.091383+00:00,2026-05-30 11:21:28.092604+00:00,,,,,,,"Testar a configuração series_g8 (G8) na família containment_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_5,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,2,,,,,,,False,False,False,False,False,False,False,False,False,False,False,,,persons|roles,2,0.0,0.0,0.0,0.0,0.0,,,,,,
series_g9_sf0.5__control__QG8_AddPersonRoleToWatchItem__hot__r01,series_g9_sf0.5,series_g9,G9,containment_family,0.5,sf0.5,imdb_mongo_sf0.5_series_g9,Series,series,1,containment_full,['Episode'],[],[],QG8_AddPersonRoleToWatchItem,control,hot,2,1,completed,,2026-05-30 11:26:18.908628+00:00,2026-05-30 11:26:18.910016+00:00,,,,,,,"Testar a configuração series_g9 (G9) na família containment_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_5,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,2,,,,,,,False,False,False,False,False,False,False,False,False,False,False,,,persons|roles,2,0.0,0.0,0.0,0.0,0.0,,,,,,
watchitem_g0_sf1__primary__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g0_sf1,watchitem_g0,G0,root_local_family,1.0,sf1,imdb_mongo_sf1_watchitem_g0,WatchItem,watchitems,0,baseline_document,[],[],"['Genre', 'Movie', 'Series', 'Episode', 'Role', 'Person']",QG8_AddPersonRoleToWatchItem,primary,hot,2,1,completed,,2026-05-30 12:02:44.178898+00:00,2026-05-30 12:02:44.179909+00:00,,,,,,,"Testar a configuração watchitem_g0 (G0) na família root_local_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf1,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,2,,,,,,,False,False,False,False,False,False,False,False,False,False,False,,,persons|roles,2,0.0,0.0,0.0,0.0,0.0,,,,,,
watchitem_g2_sf1__secondary_affected__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g2_sf1,watchitem_g2,G2,root_local_family,1.0,sf1,imdb_mongo_sf1_watchitem_g2,WatchItem,watchitems,1,shared_descriptor,['Genre'],[],"['Movie', 'Series', 'Episode']",QG8_AddPersonRoleToWatchItem,secondary_affected,hot,2,1,completed,,2026-05-30 12:30:40.152756+00:00,2026-05-30 12:30:40.153834+00:00,,,,,,,"Testar a configuração watchitem_g2 (G2) na família root_local_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf1,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,2,,,,,,,False,False,False,False,False,False,False,False,False,False,False,,,persons|roles,2,0.0,0.0,0.0,0.0,0.0,,,,,,
watchitem_g3_sf1__secondary_affected__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g3_sf1,watchitem_g3,G3,root_local_family,1.0,sf1,imdb_mongo_sf1_watchitem_g3,WatchItem,watchitems,1,structural_component,"['Episode', 'Movie', 'Series']",[],['Genre'],QG8_AddPersonRoleToWatchItem,secondary_affected,hot,2,1,completed,,2026-05-30 12:59:09.386708+00:00,2026-05-30 12:59:09.388069+00:00,,,,,,,"Testar a configuração watchitem_g3 (G3) na família root_local_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf1,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,2,,,,,,,False,False,False,False,False,False,False,False,False,False,False,,,persons|roles,2,0.0,0.0,0.0,0.0,0.0,,,,,,
watchitem_g4_sf1__primary__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g4_sf1,watchitem_g4,G4,associative_family,1.0,sf1,imdb_mongo_sf1_watchitem_g4,WatchItem,watchitems,1,associative_partial,['Role'],[],"['Person', 'Series', 'Episode']",QG8_AddPersonRoleToWatchItem,primary,hot,2,1,completed,,2026-05-30 14:42:02.687659+00:00,2026-05-30 14:42:02.696722+00:00,,,,,,,"Testar a configuração watchitem_g4 (G4) na família associative_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf1,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,3,0.0,0.0,1.0,1.0,,,True,False,True,False,True,False,False,False,False,False,False,UPDATE|FETCH|IXSCAN,watchitem_id_1,persons|roles|watchitems,3,11918372.0,13524661840.0,2692640768.0,1225670656.0,3918311424.0,1134.0,1134.0,0.0,,8.390407683197001e-08,0.09062486519071444
watchitem_g5_sf1__primary__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g5_sf1,watchitem_g5,G5,associative_family,1.0,sf1,imdb_mongo_sf1_watchitem_g5,WatchItem,watchitems,2,associative_snapshot,['Role'],['Person'],"['Series', 'Episode']",QG8_AddPersonRoleToWatchItem,primary,hot,2,1,completed,,2026-05-30 16:43:03.670064+00:00,2026-05-30 16:43:03.682805+00:00,,,,,,,"Testar a configuração watchitem_g5 (G5) na família associative_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf1,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,3,1.0,0.0,1.0,1.0,,,True,False,True,False,True,False,False,False,False,False,False,UPDATE|FETCH|IXSCAN,watchitem_id_1,persons|roles|watchitems,3,11918372.0,20628410837.0,4173045760.0,1225715712.0,5398761472.0,1730.0,1730.0,0.0,,8.390407683197001e-08,0.05941881425987037
watchitem_g6_sf1__primary__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g6_sf1,watchitem_g6,G6,associative_family,1.0,sf1,imdb_mongo_sf1_watchitem_g6,WatchItem,watchitems,2,associative_full,"['Role', 'Person']",[],"['Series', 'Episode']",QG8_AddPersonRoleToWatchItem,primary,hot,2,1,completed,,2026-05-30 18:44:05.643552+00:00,2026-05-30 18:44:05.651682+00:00,,,,,,,"Testar a configuração watchitem_g6 (G6) na família associative_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf1,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,3,0.0,0.0,1.0,1.0,,,True,False,True,False,True,False,False,False,False,False,False,UPDATE|FETCH|IXSCAN,watchitem_id_1,persons|roles|watchitems,3,11918372.0,26037548646.0,5343436800.0,1225883648.0,6569320448.0,2184.0,2184.0,0.0,,8.390407683197001e-08,0.04708137715523099
series_g7_sf1__control__QG8_AddPersonRoleToWatchItem__hot__r01,series_g7_sf1,series_g7,G7,containment_family,1.0,sf1,imdb_mongo_sf1_series_g7,Series,series,0,containment_baseline,[],[],['Episode'],QG8_AddPersonRoleToWatchItem,control,hot,2,1,completed,,2026-05-30 19:10:53.516914+00:00,2026-05-30 19:10:53.518123+00:00,,,,,,,"Testar a configuração series_g7 (G7) na família containment_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf1,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,2,,,,,,,False,False,False,False,False,False,False,False,False,False,False,,,persons|roles,2,0.0,0.0,0.0,0.0,0.0,,,,,,
series_g8_sf1__control__QG8_AddPersonRoleToWatchItem__hot__r01,series_g8_sf1,series_g8,G8,containment_family,1.0,sf1,imdb_mongo_sf1_series_g8,Series,series,1,containment_reduced,['Episode'],[],[],QG8_AddPersonRoleToWatchItem,control,hot,2,1,completed,,2026-05-30 19:20:11.831226+00:00,2026-05-30 19:20:11.833531+00:00,,,,,,,"Testar a configuração series_g8 (G8) na família containment_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf1,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,2,,,,,,,False,False,False,False,False,False,False,False,False,False,False,,,persons|roles,2,0.0,0.0,0.0,0.0,0.0,,,,,,
series_g9_sf1__control__QG8_AddPersonRoleToWatchItem__hot__r01,series_g9_sf1,series_g9,G9,containment_family,1.0,sf1,imdb_mongo_sf1_series_g9,Series,series,1,containment_full,['Episode'],[],[],QG8_AddPersonRoleToWatchItem,control,hot,2,1,completed,,2026-05-30 19:29:37.262368+00:00,2026-05-30 19:29:37.263621+00:00,,,,,,,"Testar a configuração series_g9 (G9) na família containment_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf1,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,2,,,,,,,False,False,False,False,False,False,False,False,False,False,False,,,persons|roles,2,0.0,0.0,0.0,0.0,0.0,,,,,,
