benchmark_run_id,experiment_id,config_name,activated_class,benchmark_family,scale_factor,scale_label,mongo_db_name,selected_root,primary_collection,embedding_depth,embedding_variant,embedded_entities,snapshot_entities,referenced_entities,query_name,query_group,run_phase,phase_order,repetition,execution_status,error_message,start_ts,end_ts,latency_ms,success,documents_returned,documents_written,bytes_read_estimate,bytes_written_estimate,experiment_goal,query_group_order,execution_db_name,explain_verbosity,param_json,notes,component_index,component_name,operation_type,collection_name,query_shape,projection_shape,sort_shape,limit,raw_explain_path,execution_time_ms,n_returned,total_docs_examined,total_keys_examined,docs_per_returned,keys_per_returned,winning_plan_stage,namespace,query_hash,plan_cache_key,rejected_plans_count,stages,index_names,has_ixscan,has_collscan,has_fetch,has_sort,has_limit,has_update,has_and_sorted,has_or_stage,has_projection,has_lookup,has_group,used_disk,collection_stats_ok,collection_stats_error,collection_count,collection_size_bytes,collection_avg_obj_size_bytes,collection_storage_size_bytes,collection_total_index_size_bytes,collection_total_size_bytes,collection_free_storage_size_bytes,collection_nindexes,collection_scale_factor,collection_index_sizes_json,estimated_docs_examined_bytes,estimated_returned_bytes,docs_examined_collection_ratio,index_to_data_size_ratio
watchitem_g5_sf0.25__primary__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g5_sf0.25,watchitem_g5,G5,associative_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g5,WatchItem,watchitems,2,associative_snapshot,['Role'],['Person'],"['Series', 'Episode']",QG8_AddPersonRoleToWatchItem,primary,hot,2,1,completed,,2026-05-30 07:01:45.995359+00:00,,,,,,,,"Testar a configuração watchitem_g5 (G5) na família associative_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,2,insert_role_doc,insert_not_explainable,roles,{},{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/watchitem_g5_sf0_25__QG8_AddPersonRoleToWatchItem__c2_insert_role_doc_json,,,,,,,,,,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,{},,,,
watchitem_g5_sf0.25__primary__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g5_sf0.25,watchitem_g5,G5,associative_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g5,WatchItem,watchitems,2,associative_snapshot,['Role'],['Person'],"['Series', 'Episode']",QG8_AddPersonRoleToWatchItem,primary,hot,2,1,completed,,2026-05-30 07:01:45.995359+00:00,,,,,,,,"Testar a configuração watchitem_g5 (G5) na família associative_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,3,push_embedded_role,update,watchitems,"{""watchitem_id"": ""tt0111161""}",{},[],1.0,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/watchitem_g5_sf0_25__QG8_AddPersonRoleToWatchItem__c3_push_embedded_role_json,0.0,0.0,1.0,1.0,,,UPDATE,imdb_exec_sf0_25.watchitems,0F9B88F2,7805709C,0,UPDATE|FETCH|IXSCAN,watchitem_id_1,True,False,True,False,False,True,False,False,False,False,False,False,True,,3119040.0,5466288338.0,1752.0,1177481216.0,334700544.0,1512181760.0,331776.0,9.0,1.0,"{""_id_"": 34521088, ""avg_rating_1"": 21393408, ""num_votes_1"": 20254720, ""primary_genre_1"": 17137664, ""release_year_1"": 17936384, ""title_1"": 59826176, ""title_text"": 105414656, ""title_type_1"": 15495168, ""watchitem_id_1"": 42721280}",1752.0,0.0,3.2061147019595773e-07,0.06122994677636414
watchitem_g6_sf0.25__primary__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g6_sf0.25,watchitem_g6,G6,associative_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g6,WatchItem,watchitems,2,associative_full,"['Role', 'Person']",[],"['Series', 'Episode']",QG8_AddPersonRoleToWatchItem,primary,hot,2,1,completed,,2026-05-30 07:30:04.423560+00:00,,,,,,,,"Testar a configuração watchitem_g6 (G6) na família associative_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,1,insert_person_doc,insert_not_explainable,persons,{},{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/watchitem_g6_sf0_25__QG8_AddPersonRoleToWatchItem__c1_insert_person_doc_json,,,,,,,,,,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,{},,,,
watchitem_g6_sf0.25__primary__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g6_sf0.25,watchitem_g6,G6,associative_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g6,WatchItem,watchitems,2,associative_full,"['Role', 'Person']",[],"['Series', 'Episode']",QG8_AddPersonRoleToWatchItem,primary,hot,2,1,completed,,2026-05-30 07:30:04.423560+00:00,,,,,,,,"Testar a configuração watchitem_g6 (G6) na família associative_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,2,insert_role_doc,insert_not_explainable,roles,{},{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/watchitem_g6_sf0_25__QG8_AddPersonRoleToWatchItem__c2_insert_role_doc_json,,,,,,,,,,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,{},,,,
watchitem_g6_sf0.25__primary__QG8_AddPersonRoleToWatchItem__hot__r01,watchitem_g6_sf0.25,watchitem_g6,G6,associative_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g6,WatchItem,watchitems,2,associative_full,"['Role', 'Person']",[],"['Series', 'Episode']",QG8_AddPersonRoleToWatchItem,primary,hot,2,1,completed,,2026-05-30 07:30:04.423560+00:00,,,,,,,,"Testar a configuração watchitem_g6 (G6) na família associative_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,3,push_embedded_role,update,watchitems,"{""watchitem_id"": ""tt0111161""}",{},[],1.0,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/watchitem_g6_sf0_25__QG8_AddPersonRoleToWatchItem__c3_push_embedded_role_json,0.0,0.0,1.0,1.0,,,UPDATE,imdb_exec_sf0_25.watchitems,0F9B88F2,7805709C,0,UPDATE|FETCH|IXSCAN,watchitem_id_1,True,False,True,False,False,True,False,False,False,False,False,False,True,,3119040.0,6892882728.0,2209.0,1505251328.0,334761984.0,1840013312.0,450560.0,9.0,1.0,"{""_id_"": 34582528, ""avg_rating_1"": 21393408, ""num_votes_1"": 20254720, ""primary_genre_1"": 17137664, ""release_year_1"": 17936384, ""title_1"": 59826176, ""title_text"": 105414656, ""title_type_1"": 15495168, ""watchitem_id_1"": 42721280}",2209.0,0.0,3.2061147019595773e-07,0.04856632518063058
series_g7_sf0.25__control__QG8_AddPersonRoleToWatchItem__hot__r01,series_g7_sf0.25,series_g7,G7,containment_family,0.25,sf0.25,imdb_mongo_sf0.25_series_g7,Series,series,0,containment_baseline,[],[],['Episode'],QG8_AddPersonRoleToWatchItem,control,hot,2,1,completed,,2026-05-30 07:35:17.237092+00:00,,,,,,,,"Testar a configuração series_g7 (G7) na família containment_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,1,insert_person_doc,insert_not_explainable,persons,{},{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/series_g7_sf0_25__QG8_AddPersonRoleToWatchItem__c1_insert_person_doc_json,,,,,,,,,,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,{},,,,
series_g7_sf0.25__control__QG8_AddPersonRoleToWatchItem__hot__r01,series_g7_sf0.25,series_g7,G7,containment_family,0.25,sf0.25,imdb_mongo_sf0.25_series_g7,Series,series,0,containment_baseline,[],[],['Episode'],QG8_AddPersonRoleToWatchItem,control,hot,2,1,completed,,2026-05-30 07:35:17.237092+00:00,,,,,,,,"Testar a configuração series_g7 (G7) na família containment_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,2,insert_role_doc,insert_not_explainable,roles,{},{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/series_g7_sf0_25__QG8_AddPersonRoleToWatchItem__c2_insert_role_doc_json,,,,,,,,,,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,{},,,,
series_g8_sf0.25__control__QG8_AddPersonRoleToWatchItem__hot__r01,series_g8_sf0.25,series_g8,G8,containment_family,0.25,sf0.25,imdb_mongo_sf0.25_series_g8,Series,series,1,containment_reduced,['Episode'],[],[],QG8_AddPersonRoleToWatchItem,control,hot,2,1,completed,,2026-05-30 07:37:44.104473+00:00,,,,,,,,"Testar a configuração series_g8 (G8) na família containment_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,1,insert_person_doc,insert_not_explainable,persons,{},{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/series_g8_sf0_25__QG8_AddPersonRoleToWatchItem__c1_insert_person_doc_json,,,,,,,,,,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,{},,,,
series_g8_sf0.25__control__QG8_AddPersonRoleToWatchItem__hot__r01,series_g8_sf0.25,series_g8,G8,containment_family,0.25,sf0.25,imdb_mongo_sf0.25_series_g8,Series,series,1,containment_reduced,['Episode'],[],[],QG8_AddPersonRoleToWatchItem,control,hot,2,1,completed,,2026-05-30 07:37:44.104473+00:00,,,,,,,,"Testar a configuração series_g8 (G8) na família containment_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,2,insert_role_doc,insert_not_explainable,roles,{},{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/series_g8_sf0_25__QG8_AddPersonRoleToWatchItem__c2_insert_role_doc_json,,,,,,,,,,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,{},,,,
series_g9_sf0.25__control__QG8_AddPersonRoleToWatchItem__hot__r01,series_g9_sf0.25,series_g9,G9,containment_family,0.25,sf0.25,imdb_mongo_sf0.25_series_g9,Series,series,1,containment_full,['Episode'],[],[],QG8_AddPersonRoleToWatchItem,control,hot,2,1,completed,,2026-05-30 07:40:13.111631+00:00,,,,,,,,"Testar a configuração series_g9 (G9) na família containment_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_25,executionStats,"""tt0111161""",MongoDB does not expose a useful query plan for pure insert_one operations; insert components are recorded as not_explainable.,1,insert_person_doc,insert_not_explainable,persons,{},{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_D_insert_qg8/query_plan_raw_json/series_g9_sf0_25__QG8_AddPersonRoleToWatchItem__c1_insert_person_doc_json,,,,,,,,,,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,True,,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,{},,,,
