candidate_id,collections_touched,design_pattern,execution_status,final_benchmark_group,g_class,has_COLLSCAN,has_GROUP,has_IXSCAN,max_collection_avg_obj_size_bytes,n_components,query_name,scale_label,source_results_dir,sum_estimated_docs_examined_bytes,sum_n_returned,sum_total_docs_examined,sum_total_keys_examined
dbsr_q10_createaccountholdingandbuytransaction__materialized_baseline,not_explainable,dbsr_materialized_document_tree,skipped,baseline,DBSR,False,False,False,0.0,1.0,Q10_CreateAccountHoldingAndBuyTransaction,sf30,DBSR_implementation/results/fiben/query_plan,0.0,0.0,0.0,0.0
dbsr_q1_companyprofileibm__materialized_baseline,dbsr_rank03_corporation,dbsr_materialized_document_tree,completed,baseline,DBSR,False,False,True,209.0,1.0,Q1_CompanyProfileIBM,sf30,DBSR_implementation/results/fiben/query_plan,209.0,1.0,1.0,1.0
dbsr_q2_companywithindustrycountryandlistedsecurities__materialized_baseline,dbsr_rank03_corporation;dbsr_rank05_corporation_country;dbsr_rank06_corporation_industry;dbsr_rank08_corporation_security_listedsecurity,dbsr_materialized_document_tree,completed,baseline,DBSR,False,False,True,776.0,4.0,Q2_CompanyWithIndustryCountryAndListedSecurities,sf30,DBSR_implementation/results/fiben/query_plan,1810.0,4.0,4.0,4.0
dbsr_q3_securitiesheldineachfinancialserviceaccount__materialized_baseline,dbsr_rank01_listedsecurity;dbsr_rank07_financialserviceaccount_holding_listedsecurity,dbsr_materialized_document_tree,completed,baseline,DBSR,False,False,True,3073.0,2.0,Q3_SecuritiesHeldInEachFinancialServiceAccount,sf30,DBSR_implementation/results/fiben/query_plan,39649.0,145.0,145.0,82352.0
dbsr_q4_companiesreachedfrompersonthroughaccountholdinglistedsecurity__materialized_baseline,dbsr_rank11_person_financialserviceaccount_holding;dbsr_rank12_listedsecurity_security_corporation,dbsr_materialized_document_tree,completed,baseline,DBSR,False,False,True,3343.0,2.0,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,sf30,DBSR_implementation/results/fiben/query_plan,56742493.0,1615.0,82351.0,82351.0
dbsr_q5_reportsandmetricdataofcompany__materialized_baseline,dbsr_rank13_financialreport_reportelement_statementelement,dbsr_materialized_document_tree,completed,baseline,DBSR,False,False,True,1165.0,1.0,Q5_ReportsAndMetricDataOfCompany,sf30,DBSR_implementation/results/fiben/query_plan,27960.0,24.0,24.0,24.0
dbsr_q6_techuslistedsecuritieswithhighlasttradedvalue__materialized_baseline,dbsr_rank01_listedsecurity,dbsr_materialized_document_tree,completed,baseline,DBSR,True,False,False,254.0,1.0,Q6_TechUSListedSecuritiesWithHighLastTradedValue,sf30,DBSR_implementation/results/fiben/query_plan,25400.0,100.0,100.0,0.0
dbsr_q7_personswhoboughtmoreibmthansold__materialized_baseline,dbsr_rank02_transaction_listedsecurity;dbsr_rank12_listedsecurity_security_corporation,dbsr_materialized_document_tree,completed,baseline,DBSR,False,False,True,689.0,2.0,Q7_PersonsWhoBoughtMoreIBMThanSold,sf30,DBSR_implementation/results/fiben/query_plan,97170.0,180.0,180.0,180.0
dbsr_q8_ibmtransactionsbelowaveragesellingprice__materialized_baseline,dbsr_rank02_transaction_listedsecurity;dbsr_rank12_listedsecurity_security_corporation,dbsr_materialized_document_tree,completed,baseline,DBSR,False,False,True,689.0,2.0,Q8_IBMTransactionsBelowAverageSellingPrice,sf30,DBSR_implementation/results/fiben/query_plan,97170.0,180.0,180.0,180.0
dbsr_q9_personswhoboughtandsoldsamestock__materialized_baseline,dbsr_rank02_transaction_listedsecurity,dbsr_materialized_document_tree,completed,baseline,DBSR,False,False,True,539.0,1.0,Q9_PersonsWhoBoughtAndSoldSameStock,sf30,DBSR_implementation/results/fiben/query_plan,103541.9,192.1,192.1,192.1
