query_name,generic_class,query_family,query_type,selected_root,document_depth,max_depth_for_query,Rc,Rc_status,Re,DeltaR,DeltaRratio,n_reachable_entities,reachable_entities,n_total_edges,n_covered_edges,n_remaining_edges,covered_edge_ids,remaining_edge_ids,covered_relationships,remaining_relationships,covered_semantic_types,remaining_semantic_types,is_full_coverage
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,0,3,4,connected,4,0,0.0,1,['Corporation'],4,0,4,[],"['Corporation -- FinancialReport [corporation_has_financial_report]', 'FinancialReport -- Disclosure [financial_report_contains_disclosure]', 'FinancialReport -- ReportElement [financial_report_contains_report_element]', 'ReportElement -- StatementElement [report_element_has_statement_element]']",[],"['corporation_has_financial_report', 'financial_report_contains_disclosure', 'financial_report_contains_report_element', 'report_element_has_statement_element']",[],['containment'],False
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,1,3,4,connected,3,1,0.25,2,"['Corporation', 'FinancialReport']",4,1,3,['Corporation -- FinancialReport [corporation_has_financial_report]'],"['FinancialReport -- Disclosure [financial_report_contains_disclosure]', 'FinancialReport -- ReportElement [financial_report_contains_report_element]', 'ReportElement -- StatementElement [report_element_has_statement_element]']",['corporation_has_financial_report'],"['financial_report_contains_disclosure', 'financial_report_contains_report_element', 'report_element_has_statement_element']",['containment'],['containment'],False
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,2,3,4,connected,1,3,0.75,4,"['Corporation', 'Disclosure', 'FinancialReport', 'ReportElement']",4,3,1,"['Corporation -- FinancialReport [corporation_has_financial_report]', 'FinancialReport -- Disclosure [financial_report_contains_disclosure]', 'FinancialReport -- ReportElement [financial_report_contains_report_element]']",['ReportElement -- StatementElement [report_element_has_statement_element]'],"['corporation_has_financial_report', 'financial_report_contains_disclosure', 'financial_report_contains_report_element']",['report_element_has_statement_element'],['containment'],['containment'],False
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,3,3,4,connected,0,4,1.0,5,"['Corporation', 'Disclosure', 'FinancialReport', 'ReportElement', 'StatementElement']",4,4,0,"['Corporation -- FinancialReport [corporation_has_financial_report]', 'FinancialReport -- Disclosure [financial_report_contains_disclosure]', 'FinancialReport -- ReportElement [financial_report_contains_report_element]', 'ReportElement -- StatementElement [report_element_has_statement_element]']",[],"['corporation_has_financial_report', 'financial_report_contains_disclosure', 'financial_report_contains_report_element', 'report_element_has_statement_element']",[],['containment'],[],True
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,0,2,3,connected,3,0,0.0,1,['ListedSecurity'],3,0,3,[],"['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Corporation -- Country [corporation_has_country]', 'Corporation -- Industry [corporation_has_industry]']",[],"['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']",[],"['association', 'descriptor']",False
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,1,2,3,connected,2,1,0.3333333333333333,2,"['Corporation', 'ListedSecurity']",3,1,2,['Corporation -- ListedSecurity [corporation_has_listed_security]'],"['Corporation -- Country [corporation_has_country]', 'Corporation -- Industry [corporation_has_industry]']",['corporation_has_listed_security'],"['corporation_has_country', 'corporation_has_industry']",['association'],['descriptor'],False
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,2,2,3,connected,0,3,1.0,4,"['Corporation', 'Country', 'Industry', 'ListedSecurity']",3,3,0,"['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Corporation -- Country [corporation_has_country]', 'Corporation -- Industry [corporation_has_industry]']",[],"['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']",[],"['association', 'descriptor']",[],True
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,0,4,6,connected,7,-1,-0.16666666666666666,1,['Person'],6,0,7,[],"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",[],"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'corporation_has_listed_security', 'holding_refers_to_listed_security', 'person_owns_financial_service_account', 'sell_transaction_is_transaction']",[],"['association', 'containment', 'ownership', 'subtype']",False
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,1,4,6,connected,6,0,0.0,2,"['FinancialServiceAccount', 'Person']",6,1,6,['Person -- FinancialServiceAccount [person_owns_financial_service_account]'],"['FinancialServiceAccount -- Holding [account_has_holding]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",['person_owns_financial_service_account'],"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'corporation_has_listed_security', 'holding_refers_to_listed_security', 'sell_transaction_is_transaction']",['ownership'],"['association', 'containment', 'subtype']",False
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,2,4,6,connected,4,2,0.3333333333333333,3,"['FinancialServiceAccount', 'Person', 'Transaction']",6,3,4,"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'FinancialServiceAccount -- Transaction [account_records_transaction]']","['BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']","['account_has_holding', 'account_records_transaction', 'person_owns_financial_service_account']","['buy_transaction_is_transaction', 'corporation_has_listed_security', 'holding_refers_to_listed_security', 'sell_transaction_is_transaction']","['containment', 'ownership']","['association', 'subtype']",False
