dataset,scale_label,query_name,run_phase,query_scale_phase_id,baseline,availability_status,selected_g_classes,selected_config_count,global_best_config_id,global_best_g_class,global_best_p95,baseline_best_config_id,baseline_best_g_class,baseline_best_p95,top1_preserved,top3_preserved,near_best_preserved,relative_regret,random_repetitions,random_k_size,random_top1_std,random_top3_std,random_near_best_std,random_regret_std,note
fiben,sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,hot,fiben::sf1::Q6_TechUSListedSecuritiesWithHighLastTradedValue::hot,always_reference,available,CONTROL|G3|G7,3,q6_tech_uslisted_securities_with_high_last_traded_value__g9__tradeoff_benchmark_candidate,G9,0.3859236370772123,q6_tech_uslisted_securities_with_high_last_traded_value__g7__update_aware_references,G7,0.4025345377158373,0.0,1.0,1.0,0.043041936390389224,,,,,,,Coverage status: partial; performance computed over selected measured classes.
imdb,sf0.25,QG2_WatchItemByTitle,hot,imdb::sf0.25::QG2_WatchItemByTitle::hot,always_reference,available,G0|G3|G6|G7,4,series_g9,G9,0.2828345986927161,watchitem_g3,G3,0.2947448505437933,0.0,1.0,1.0,0.04211030724715901,,,,,,,Coverage status: partial; performance computed over selected measured classes.
imdb,sf0.25,QG2_WatchItemByTitle,hot,imdb::sf0.25::QG2_WatchItemByTitle::hot,schema_lens,available,G0|G2|G3|G4|G5|G6,6,series_g9,G9,0.2828345986927161,watchitem_g3,G3,0.2947448505437933,0.0,1.0,1.0,0.04211030724715901,,,,,,,SchemaLens selects all non-control measured configuration classes for this case.
ldbc_snb,sf0.1,IC5_NewGroups,hot,ldbc_snb::sf0.1::IC5_NewGroups::hot,depth_only,available,G3|G4|G6|G9,4,ldbc_snb_ic5_g7_a2002d4c,G7,135.32296839985065,ldbc_snb_ic5_g6_733601c1,G6,140.76062214444391,0.0,1.0,1.0,0.040182784998671846,,,,,,,Coverage status: partial; performance computed over selected measured classes.
ldbc_snb,sf1,IS7_RepliesOfMessage,hot,ldbc_snb::sf1::IS7_RepliesOfMessage::hot,always_reference,available,G0|G3|G7,3,ldbc_snb_is7_g9_392f7469,G9,11.009078891947864,ldbc_snb_is7_g0_7dff7761,G0,11.44705885089934,0.0,1.0,1.0,0.0397835244210866,,,,,,,Coverage status: partial; performance computed over selected measured classes.
imdb,sf1,QG6_EpisodesOfSeries,cold,imdb::sf1::QG6_EpisodesOfSeries::cold,random_k,available,random_sample_k=4,4,watchitem_g3,G3,2.7282704060780807,,,2.836314295679767,0.446,0.873,0.7,0.03960160597020878,1000,4,0.49707544698969,0.33297297187609687,0.45825756949558394,0.05059250590985132,Random-k is averaged over repeated samples from measured configuration classes.
ldbc_snb,sf3,INS7_AddComment,cold,ldbc_snb::sf3::INS7_AddComment::cold,always_embed,available,G9,1,ldbc_snb_ins7_g0_1f628fad,G0,3062.900632931263,ldbc_snb_ins7_g9_bcd2ce9b,G9,3180.709291886881,0.0,1.0,1.0,0.038463101835227616,,,,,,,Coverage status: partial; performance computed over selected measured classes.
ldbc_snb,sf3,INS7_AddComment,cold,ldbc_snb::sf3::INS7_AddComment::cold,depth_only,available,G9,1,ldbc_snb_ins7_g0_1f628fad,G0,3062.900632931263,ldbc_snb_ins7_g9_bcd2ce9b,G9,3180.709291886881,0.0,1.0,1.0,0.038463101835227616,,,,,,,Coverage status: partial; performance computed over selected measured classes.
ldbc_snb,sf3,INS7_AddComment,cold,ldbc_snb::sf3::INS7_AddComment::cold,relationship_type_only,available,G7|G9,2,ldbc_snb_ins7_g0_1f628fad,G0,3062.900632931263,ldbc_snb_ins7_g9_bcd2ce9b,G9,3180.709291886881,0.0,1.0,1.0,0.038463101835227616,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,fiben::sf10::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,random_k,available,random_sample_k=5,5,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.1553680398501455,,,0.16129524513962673,0.835,1.0,0.835,0.03814945013915394,1000,5,0.37118054905934933,0.0,0.37118054905934933,0.08582020514523289,Random-k is averaged over repeated samples from measured configuration classes.
