dataset,scale_label,query_name,run_phase,baseline,metadata_status,dominant_semantics,depth_D,available_g_classes,desired_g_classes,selected_available_g_classes,missing_g_classes,desired_count,selected_available_count,coverage_ratio,coverage_status,note
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,hot,always_reference,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G7,G0|G6,5,3,0.6,partial,
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,hot,always_embed,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G2|G4|G5|G8|G9,G2|G4|G5|G9,G8,5,4,0.8,partial,
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,hot,depth_only,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G3|G4|G5|G6|G9,G3|G4|G5|G9,G6,5,4,0.8,partial,
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,hot,relationship_type_only,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G4|G5|G6,G4|G5,G6,3,2,0.6666666666666666,partial,
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,cold,always_reference,confirmed,associative,4,CONTROL|G2|G3|G4|G5|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G7,G0|G6,5,3,0.6,partial,
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,cold,always_embed,confirmed,associative,4,CONTROL|G2|G3|G4|G5|G7|G9,G2|G4|G5|G8|G9,G2|G4|G5|G9,G8,5,4,0.8,partial,
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,cold,depth_only,confirmed,associative,4,CONTROL|G2|G3|G4|G5|G7|G9,G0|G3|G6|G7,G3|G7,G0|G6,4,2,0.5,partial,
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,cold,relationship_type_only,confirmed,associative,4,CONTROL|G2|G3|G4|G5|G7|G9,G4|G5|G6,G4|G5,G6,3,2,0.6666666666666666,partial,
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,hot,always_reference,confirmed,associative,4,CONTROL|G2|G3|G4|G5|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G7,G0|G6,5,3,0.6,partial,
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,hot,always_embed,confirmed,associative,4,CONTROL|G2|G3|G4|G5|G7|G9,G2|G4|G5|G8|G9,G2|G4|G5|G9,G8,5,4,0.8,partial,
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,hot,depth_only,confirmed,associative,4,CONTROL|G2|G3|G4|G5|G7|G9,G0|G3|G6|G7,G3|G7,G0|G6,4,2,0.5,partial,
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,hot,relationship_type_only,confirmed,associative,4,CONTROL|G2|G3|G4|G5|G7|G9,G4|G5|G6,G4|G5,G6,3,2,0.6666666666666666,partial,
fiben,sf1,Q5_ReportsAndMetricDataOfCompany,cold,always_reference,confirmed,containment,3,CONTROL|G2|G4|G9,CONTROL|G0|G3|G6|G7,CONTROL,G0|G3|G6|G7,5,1,0.2,partial,
fiben,sf1,Q5_ReportsAndMetricDataOfCompany,cold,always_embed,confirmed,containment,3,CONTROL|G2|G4|G9,G2|G4|G5|G8|G9,G2|G4|G9,G5|G8,5,3,0.6,partial,
fiben,sf1,Q5_ReportsAndMetricDataOfCompany,cold,depth_only,confirmed,containment,3,CONTROL|G2|G4|G9,G0|G3|G6|G7,,G0|G3|G6|G7,4,0,0.0,none,
fiben,sf1,Q5_ReportsAndMetricDataOfCompany,cold,relationship_type_only,confirmed,containment,3,CONTROL|G2|G4|G9,G7|G8|G9,G9,G7|G8,3,1,0.3333333333333333,partial,
fiben,sf1,Q5_ReportsAndMetricDataOfCompany,hot,always_reference,confirmed,containment,3,CONTROL|G2|G4|G9,CONTROL|G0|G3|G6|G7,CONTROL,G0|G3|G6|G7,5,1,0.2,partial,
fiben,sf1,Q5_ReportsAndMetricDataOfCompany,hot,always_embed,confirmed,containment,3,CONTROL|G2|G4|G9,G2|G4|G5|G8|G9,G2|G4|G9,G5|G8,5,3,0.6,partial,
fiben,sf1,Q5_ReportsAndMetricDataOfCompany,hot,depth_only,confirmed,containment,3,CONTROL|G2|G4|G9,G0|G3|G6|G7,,G0|G3|G6|G7,4,0,0.0,none,
fiben,sf1,Q5_ReportsAndMetricDataOfCompany,hot,relationship_type_only,confirmed,containment,3,CONTROL|G2|G4|G9,G7|G8|G9,G9,G7|G8,3,1,0.3333333333333333,partial,
