dataset,scale_label,query_name,run_phase,baseline,metadata_status,dominant_semantics,depth_D,available_g_classes,desired_g_classes,selected_available_g_classes,missing_g_classes,desired_count,selected_available_count,coverage_ratio,coverage_status,note
fiben,sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,cold,always_reference,confirmed,association,1,CONTROL|G1|G3|G5|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G7,G0|G6,5,3,0.6,partial,
fiben,sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,cold,always_embed,confirmed,association,1,CONTROL|G1|G3|G5|G7|G9,G2|G4|G5|G8|G9,G5|G9,G2|G4|G8,5,2,0.4,partial,
fiben,sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,cold,depth_only,confirmed,association,1,CONTROL|G1|G3|G5|G7|G9,G2|G8|G9,G9,G2|G8,3,1,0.3333333333333333,partial,
fiben,sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,cold,relationship_type_only,confirmed,association,1,CONTROL|G1|G3|G5|G7|G9,G0|G2|G3,G3,G0|G2,3,1,0.3333333333333333,partial,
fiben,sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,hot,always_reference,confirmed,association,1,CONTROL|G1|G3|G5|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G7,G0|G6,5,3,0.6,partial,
fiben,sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,hot,always_embed,confirmed,association,1,CONTROL|G1|G3|G5|G7|G9,G2|G4|G5|G8|G9,G5|G9,G2|G4|G8,5,2,0.4,partial,
fiben,sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,hot,depth_only,confirmed,association,1,CONTROL|G1|G3|G5|G7|G9,G2|G8|G9,G9,G2|G8,3,1,0.3333333333333333,partial,
fiben,sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,hot,relationship_type_only,confirmed,association,1,CONTROL|G1|G3|G5|G7|G9,G0|G2|G3,G3,G0|G2,3,1,0.3333333333333333,partial,
fiben,sf1,Q7_PersonsWhoBoughtMoreIBMThanSold,cold,always_reference,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G6|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G6|G7,G0,5,4,0.8,partial,
fiben,sf1,Q7_PersonsWhoBoughtMoreIBMThanSold,cold,always_embed,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G6|G7|G9,G2|G4|G5|G8|G9,G2|G4|G5|G9,G8,5,4,0.8,partial,
fiben,sf1,Q7_PersonsWhoBoughtMoreIBMThanSold,hot,always_reference,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G6|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G6|G7,G0,5,4,0.8,partial,
fiben,sf1,Q7_PersonsWhoBoughtMoreIBMThanSold,hot,always_embed,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G6|G7|G9,G2|G4|G5|G8|G9,G2|G4|G5|G9,G8,5,4,0.8,partial,
fiben,sf1,Q8_IBMTransactionsBelowAverageSellingPrice,cold,always_reference,confirmed,associative,2,CONTROL|G3|G5|G6|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G6|G7,G0,5,4,0.8,partial,
fiben,sf1,Q8_IBMTransactionsBelowAverageSellingPrice,cold,always_embed,confirmed,associative,2,CONTROL|G3|G5|G6|G7|G9,G2|G4|G5|G8|G9,G5|G9,G2|G4|G8,5,2,0.4,partial,
fiben,sf1,Q8_IBMTransactionsBelowAverageSellingPrice,cold,depth_only,confirmed,associative,2,CONTROL|G3|G5|G6|G7|G9,G3|G4|G5|G6|G9,G3|G5|G6|G9,G4,5,4,0.8,partial,
fiben,sf1,Q8_IBMTransactionsBelowAverageSellingPrice,cold,relationship_type_only,confirmed,associative,2,CONTROL|G3|G5|G6|G7|G9,G4|G5|G6,G5|G6,G4,3,2,0.6666666666666666,partial,
fiben,sf1,Q8_IBMTransactionsBelowAverageSellingPrice,hot,always_reference,confirmed,associative,2,CONTROL|G3|G5|G6|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G6|G7,G0,5,4,0.8,partial,
fiben,sf1,Q8_IBMTransactionsBelowAverageSellingPrice,hot,always_embed,confirmed,associative,2,CONTROL|G3|G5|G6|G7|G9,G2|G4|G5|G8|G9,G5|G9,G2|G4|G8,5,2,0.4,partial,
fiben,sf1,Q8_IBMTransactionsBelowAverageSellingPrice,hot,depth_only,confirmed,associative,2,CONTROL|G3|G5|G6|G7|G9,G3|G4|G5|G6|G9,G3|G5|G6|G9,G4,5,4,0.8,partial,
fiben,sf1,Q8_IBMTransactionsBelowAverageSellingPrice,hot,relationship_type_only,confirmed,associative,2,CONTROL|G3|G5|G6|G7|G9,G4|G5|G6,G5|G6,G4,3,2,0.6666666666666666,partial,
fiben,sf1,Q9_PersonsWhoBoughtAndSoldSameStock,cold,always_reference,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G7,G0|G6,5,3,0.6,partial,
fiben,sf1,Q9_PersonsWhoBoughtAndSoldSameStock,cold,always_embed,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G2|G4|G5|G8|G9,G2|G4|G5|G9,G8,5,4,0.8,partial,
fiben,sf1,Q9_PersonsWhoBoughtAndSoldSameStock,cold,depth_only,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G3|G4|G5|G6|G9,G3|G4|G5|G9,G6,5,4,0.8,partial,
fiben,sf1,Q9_PersonsWhoBoughtAndSoldSameStock,cold,relationship_type_only,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G4|G5|G6,G4|G5,G6,3,2,0.6666666666666666,partial,
fiben,sf1,Q9_PersonsWhoBoughtAndSoldSameStock,hot,always_reference,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G7,G0|G6,5,3,0.6,partial,
fiben,sf1,Q9_PersonsWhoBoughtAndSoldSameStock,hot,always_embed,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G2|G4|G5|G8|G9,G2|G4|G5|G9,G8,5,4,0.8,partial,
fiben,sf1,Q9_PersonsWhoBoughtAndSoldSameStock,hot,depth_only,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G3|G4|G5|G6|G9,G3|G4|G5|G9,G6,5,4,0.8,partial,
fiben,sf1,Q9_PersonsWhoBoughtAndSoldSameStock,hot,relationship_type_only,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G4|G5|G6,G4|G5,G6,3,2,0.6666666666666666,partial,
fiben,sf10,Q10_CreateAccountHoldingAndBuyTransaction,cold,always_reference,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G7,G0|G6,5,3,0.6,partial,
fiben,sf10,Q10_CreateAccountHoldingAndBuyTransaction,cold,always_embed,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G2|G4|G5|G8|G9,G2|G4|G5|G9,G8,5,4,0.8,partial,
fiben,sf10,Q10_CreateAccountHoldingAndBuyTransaction,cold,depth_only,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G3|G4|G5|G6|G9,G3|G4|G5|G9,G6,5,4,0.8,partial,
fiben,sf10,Q10_CreateAccountHoldingAndBuyTransaction,cold,relationship_type_only,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G4|G5|G6,G4|G5,G6,3,2,0.6666666666666666,partial,
fiben,sf10,Q10_CreateAccountHoldingAndBuyTransaction,hot,always_reference,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G7,G0|G6,5,3,0.6,partial,
fiben,sf10,Q10_CreateAccountHoldingAndBuyTransaction,hot,always_embed,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G2|G4|G5|G8|G9,G2|G4|G5|G9,G8,5,4,0.8,partial,
fiben,sf10,Q10_CreateAccountHoldingAndBuyTransaction,hot,depth_only,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G3|G4|G5|G6|G9,G3|G4|G5|G9,G6,5,4,0.8,partial,
fiben,sf10,Q10_CreateAccountHoldingAndBuyTransaction,hot,relationship_type_only,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G4|G5|G6,G4|G5,G6,3,2,0.6666666666666666,partial,
fiben,sf10,Q1_CompanyProfileIBM,cold,always_reference,confirmed,local,0,CONTROL|G0,CONTROL|G0|G3|G6|G7,CONTROL|G0,G3|G6|G7,5,2,0.4,partial,
fiben,sf10,Q1_CompanyProfileIBM,cold,always_embed,confirmed,local,0,CONTROL|G0,G2|G4|G5|G8|G9,,G2|G4|G5|G8|G9,5,0,0.0,none,
fiben,sf10,Q1_CompanyProfileIBM,cold,depth_only,confirmed,local,0,CONTROL|G0,G2|G8|G9,,G2|G8|G9,3,0,0.0,none,
fiben,sf10,Q1_CompanyProfileIBM,cold,relationship_type_only,confirmed,local,0,CONTROL|G0,CONTROL|G0|G1|G2,CONTROL|G0,G1|G2,4,2,0.5,partial,
fiben,sf10,Q1_CompanyProfileIBM,hot,always_reference,confirmed,local,0,CONTROL|G0,CONTROL|G0|G3|G6|G7,CONTROL|G0,G3|G6|G7,5,2,0.4,partial,
fiben,sf10,Q1_CompanyProfileIBM,hot,always_embed,confirmed,local,0,CONTROL|G0,G2|G4|G5|G8|G9,,G2|G4|G5|G8|G9,5,0,0.0,none,
fiben,sf10,Q1_CompanyProfileIBM,hot,depth_only,confirmed,local,0,CONTROL|G0,G2|G8|G9,,G2|G8|G9,3,0,0.0,none,
fiben,sf10,Q1_CompanyProfileIBM,hot,relationship_type_only,confirmed,local,0,CONTROL|G0,CONTROL|G0|G1|G2,CONTROL|G0,G1|G2,4,2,0.5,partial,
fiben,sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,always_reference,confirmed,association,1,CONTROL|G1|G3|G5|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G7,G0|G6,5,3,0.6,partial,
fiben,sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,always_embed,confirmed,association,1,CONTROL|G1|G3|G5|G7|G9,G2|G4|G5|G8|G9,G5|G9,G2|G4|G8,5,2,0.4,partial,
fiben,sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,depth_only,confirmed,association,1,CONTROL|G1|G3|G5|G7|G9,G2|G8|G9,G9,G2|G8,3,1,0.3333333333333333,partial,
fiben,sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,relationship_type_only,confirmed,association,1,CONTROL|G1|G3|G5|G7|G9,G0|G2|G3,G3,G0|G2,3,1,0.3333333333333333,partial,
fiben,sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,always_reference,confirmed,association,1,CONTROL|G1|G3|G5|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G7,G0|G6,5,3,0.6,partial,
fiben,sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,always_embed,confirmed,association,1,CONTROL|G1|G3|G5|G7|G9,G2|G4|G5|G8|G9,G5|G9,G2|G4|G8,5,2,0.4,partial,
fiben,sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,depth_only,confirmed,association,1,CONTROL|G1|G3|G5|G7|G9,G2|G8|G9,G9,G2|G8,3,1,0.3333333333333333,partial,
fiben,sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,relationship_type_only,confirmed,association,1,CONTROL|G1|G3|G5|G7|G9,G0|G2|G3,G3,G0|G2,3,1,0.3333333333333333,partial,
fiben,sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,always_reference,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G7,G0|G6,5,3,0.6,partial,
fiben,sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,always_embed,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G2|G4|G5|G8|G9,G2|G4|G5|G9,G8,5,4,0.8,partial,
fiben,sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,depth_only,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G3|G4|G5|G6|G9,G3|G4|G5|G9,G6,5,4,0.8,partial,
fiben,sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,relationship_type_only,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G4|G5|G6,G4|G5,G6,3,2,0.6666666666666666,partial,
fiben,sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,hot,always_reference,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G7,G0|G6,5,3,0.6,partial,
fiben,sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,hot,always_embed,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G2|G4|G5|G8|G9,G2|G4|G5|G9,G8,5,4,0.8,partial,
fiben,sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,hot,depth_only,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G3|G4|G5|G6|G9,G3|G4|G5|G9,G6,5,4,0.8,partial,
fiben,sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,hot,relationship_type_only,confirmed,associative,2,CONTROL|G2|G3|G4|G5|G7|G9,G4|G5|G6,G4|G5,G6,3,2,0.6666666666666666,partial,
fiben,sf10,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,cold,always_reference,confirmed,associative,4,CONTROL|G2|G3|G4|G5|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G7,G0|G6,5,3,0.6,partial,
fiben,sf10,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,cold,always_embed,confirmed,associative,4,CONTROL|G2|G3|G4|G5|G7|G9,G2|G4|G5|G8|G9,G2|G4|G5|G9,G8,5,4,0.8,partial,
fiben,sf10,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,cold,depth_only,confirmed,associative,4,CONTROL|G2|G3|G4|G5|G7|G9,G0|G3|G6|G7,G3|G7,G0|G6,4,2,0.5,partial,
fiben,sf10,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,cold,relationship_type_only,confirmed,associative,4,CONTROL|G2|G3|G4|G5|G7|G9,G4|G5|G6,G4|G5,G6,3,2,0.6666666666666666,partial,
fiben,sf10,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,hot,always_reference,confirmed,associative,4,CONTROL|G2|G3|G4|G5|G7|G9,CONTROL|G0|G3|G6|G7,CONTROL|G3|G7,G0|G6,5,3,0.6,partial,
fiben,sf10,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,hot,always_embed,confirmed,associative,4,CONTROL|G2|G3|G4|G5|G7|G9,G2|G4|G5|G8|G9,G2|G4|G5|G9,G8,5,4,0.8,partial,
fiben,sf10,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,hot,depth_only,confirmed,associative,4,CONTROL|G2|G3|G4|G5|G7|G9,G0|G3|G6|G7,G3|G7,G0|G6,4,2,0.5,partial,
fiben,sf10,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,hot,relationship_type_only,confirmed,associative,4,CONTROL|G2|G3|G4|G5|G7|G9,G4|G5|G6,G4|G5,G6,3,2,0.6666666666666666,partial,
fiben,sf10,Q5_ReportsAndMetricDataOfCompany,cold,always_reference,confirmed,containment,3,CONTROL|G2|G4|G9,CONTROL|G0|G3|G6|G7,CONTROL,G0|G3|G6|G7,5,1,0.2,partial,
fiben,sf10,Q5_ReportsAndMetricDataOfCompany,cold,always_embed,confirmed,containment,3,CONTROL|G2|G4|G9,G2|G4|G5|G8|G9,G2|G4|G9,G5|G8,5,3,0.6,partial,
fiben,sf10,Q5_ReportsAndMetricDataOfCompany,cold,depth_only,confirmed,containment,3,CONTROL|G2|G4|G9,G0|G3|G6|G7,,G0|G3|G6|G7,4,0,0.0,none,
fiben,sf10,Q5_ReportsAndMetricDataOfCompany,cold,relationship_type_only,confirmed,containment,3,CONTROL|G2|G4|G9,G7|G8|G9,G9,G7|G8,3,1,0.3333333333333333,partial,
fiben,sf10,Q5_ReportsAndMetricDataOfCompany,hot,always_reference,confirmed,containment,3,CONTROL|G2|G4|G9,CONTROL|G0|G3|G6|G7,CONTROL,G0|G3|G6|G7,5,1,0.2,partial,
