ablation_variant,total_cases,available_cases,unavailable_cases,availability_ratio,top1_preservation_rate,top3_preservation_rate,near_best_preservation_rate,mean_relative_regret,median_relative_regret,max_relative_regret,mean_ablation_best_p95,mean_global_best_p95
full_schema_lens,252,252,0,1.0,0.873015873015873,0.9880952380952381,0.9206349206349206,0.03944654588342986,0.0,2.051029304576128,1016.1085193007046,1015.8042267256207
no_depth,252,252,0,1.0,0.5515873015873016,0.9841269841269841,0.7063492063492064,0.9666299513549425,0.0,214.15811394499417,1053.537418785301,1015.8042267256207
no_relationship_semantics,252,234,18,0.9285714285714286,0.46153846153846156,0.8589743589743589,0.6581196581196581,1.1203100587016135,0.005869626715169853,214.15811394499417,1131.0726537980536,1088.6431662931043
no_relationship_semantics_no_depth,252,234,18,0.9285714285714286,0.41452991452991456,0.782051282051282,0.594017094017094,1.1803333401559952,0.017349273719696606,214.15811394499417,1132.3785544145248,1088.6431662931043
no_residual_traversal,252,252,0,1.0,0.4801587301587302,0.9801587301587301,0.6746031746031746,1.0117936726782821,0.004228674822433212,214.15811394499417,1057.766001205241,1015.8042267256207
no_sharedness,252,252,0,1.0,0.5674603174603174,0.9722222222222222,0.7420634920634921,0.9647096615167237,0.0,214.15811394499417,1053.7265896762426,1015.8042267256207
no_update_volatility,252,252,0,1.0,0.5714285714285714,0.9484126984126984,0.753968253968254,0.9563482623198596,0.0,214.15811394499417,1058.241321394074,1015.8042267256207
