dataset,scale_label,query_name,run_phase,query_scale_phase_id,ablation_variant,availability_status,selected_g_classes,selected_config_count,removed_g_classes,removal_reasons,global_best_config_id,global_best_g_class,global_best_p95,ablation_best_config_id,ablation_best_g_class,ablation_best_p95,top1_preserved,top3_preserved,near_best_preserved,relative_regret,rule_note
fiben,sf1,Q1_CompanyProfileIBM,hot,fiben::sf1::Q1_CompanyProfileIBM::hot,no_relationship_semantics,available,G0,1,,,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,0.2333730109967291,q1_company_profile_ibm__g0__root_only,G0,0.5578436190262431,0.0,1.0,0.0,1.3903518947787055,"Removed relationship-semantics-driven classes. This ablation ignores association, associative, containment, descriptor, ownership, and subtype signals."
fiben,sf1,Q1_CompanyProfileIBM,hot,fiben::sf1::Q1_CompanyProfileIBM::hot,no_depth,available,G0,1,,,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,0.2333730109967291,q1_company_profile_ibm__g0__root_only,G0,0.5578436190262431,0.0,1.0,0.0,1.3903518947787055,Removed depth-sensitive classes. This ablation ignores embedding depth and deep/nested traversal evidence.
fiben,sf1,Q1_CompanyProfileIBM,hot,fiben::sf1::Q1_CompanyProfileIBM::hot,no_residual_traversal,available,G0,1,,,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,0.2333730109967291,q1_company_profile_ibm__g0__root_only,G0,0.5578436190262431,0.0,1.0,0.0,1.3903518947787055,"Removed residual-traversal/reduction-sensitive classes. This ablation ignores Re, DeltaR, and DeltaRratio as activation evidence."
fiben,sf1,Q1_CompanyProfileIBM,hot,fiben::sf1::Q1_CompanyProfileIBM::hot,no_sharedness,available,G0,1,,,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,0.2333730109967291,q1_company_profile_ibm__g0__root_only,G0,0.5578436190262431,0.0,1.0,0.0,1.3903518947787055,Removed sharedness-sensitive classes. This ablation ignores observed sharedness pressure.
fiben,sf1,Q1_CompanyProfileIBM,hot,fiben::sf1::Q1_CompanyProfileIBM::hot,no_update_volatility,available,G0,1,,,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,0.2333730109967291,q1_company_profile_ibm__g0__root_only,G0,0.5578436190262431,0.0,1.0,0.0,1.3903518947787055,Removed update/volatility-sensitive classes. This ablation ignores write pressure and update volatility.
fiben,sf1,Q1_CompanyProfileIBM,hot,fiben::sf1::Q1_CompanyProfileIBM::hot,no_relationship_semantics_no_depth,available,G0,1,,,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,0.2333730109967291,q1_company_profile_ibm__g0__root_only,G0,0.5578436190262431,0.0,1.0,0.0,1.3903518947787055,Removed both relationship-semantics-driven and depth-sensitive classes. This ablation tests a reduced activation without semantic type or embedding depth.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,full_schema_lens,available,G1|G3|G5|G7|G9,5,,,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.2041728235781192,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.2041728235781192,1.0,1.0,1.0,0.0,Full SchemaLens measured space: all non-control benchmark groups.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,no_relationship_semantics,available,G7|G9,2,G1|G3|G5,G1:removed_semantic_g_class; G3:removed_semantic_g_class; G5:removed_semantic_g_class,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.2041728235781192,q2_company_with_industry_country_and_listed_securities__g7__update_aware_references,G7,0.2509824000298974,0.0,0.0,0.0,0.22926448109715375,"Removed relationship-semantics-driven classes. This ablation ignores association, associative, containment, descriptor, ownership, and subtype signals."
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,no_depth,available,G1|G3|G5|G7|G9,5,,,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.2041728235781192,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.2041728235781192,1.0,1.0,1.0,0.0,Removed depth-sensitive classes. This ablation ignores embedding depth and deep/nested traversal evidence.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,no_residual_traversal,available,G1|G3|G5|G7,4,G9,G9:removed_residual_or_reduction_sensitive_g_class,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.2041728235781192,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.2041728235781192,1.0,1.0,1.0,0.0,"Removed residual-traversal/reduction-sensitive classes. This ablation ignores Re, DeltaR, and DeltaRratio as activation evidence."
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,no_sharedness,available,G1|G3|G7|G9,4,G5,G5:removed_sharedness_sensitive_g_class,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.2041728235781192,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.2041728235781192,1.0,1.0,1.0,0.0,Removed sharedness-sensitive classes. This ablation ignores observed sharedness pressure.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,no_update_volatility,available,G1|G3|G5|G9,4,G7,G7:removed_update_sensitive_g_class,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.2041728235781192,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.2041728235781192,1.0,1.0,1.0,0.0,Removed update/volatility-sensitive classes. This ablation ignores write pressure and update volatility.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,no_relationship_semantics_no_depth,available,G7|G9,2,G1|G3|G5,G1:removed_semantic_g_class; G3:removed_semantic_g_class; G5:removed_semantic_g_class,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.2041728235781192,q2_company_with_industry_country_and_listed_securities__g7__update_aware_references,G7,0.2509824000298974,0.0,0.0,0.0,0.22926448109715375,Removed both relationship-semantics-driven and depth-sensitive classes. This ablation tests a reduced activation without semantic type or embedding depth.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,full_schema_lens,available,G1|G3|G5|G7|G9,5,,,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,1.0,1.0,1.0,0.0,Full SchemaLens measured space: all non-control benchmark groups.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,no_relationship_semantics,available,G7|G9,2,G1|G3|G5,G1:removed_semantic_g_class; G3:removed_semantic_g_class; G5:removed_semantic_g_class,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,q2_company_with_industry_country_and_listed_securities__g7__update_aware_references,G7,0.1288149913307279,0.0,1.0,0.0,0.09987865188687446,"Removed relationship-semantics-driven classes. This ablation ignores association, associative, containment, descriptor, ownership, and subtype signals."
