baseline,baseline_label,real_artifact_examples,rule,purpose
schema_lens,SchemaLens,"IMDb QG9: $G0,G2,G3,G4,G5,G6,G7,G8,G9$; FIBEN Q2: $G1,G3,G5,G7,G9$; LDBC IC7: $G0,G3,G4,G6$",Use the EER/workload analytical matrix to activate a query-specific family.,Main method under evaluation.
always_reference,Always-reference,"IMDb QG9: $G0,G3,G6,G7$; FIBEN Q2: $Control,G3,G7$; LDBC IC7: $G0,G3,G6$",Preserve candidates that keep entities external or reference-oriented.,Tests whether reference-preserving designs alone are sufficient.
always_embed,Always-embed,"IMDb QG9: $G2,G4,G5,G8,G9$; FIBEN Q2: $G5,G9$; LDBC IC7: $G4$","Preserve candidates that materialise related data under, or close to, the selected root.",Tests whether locality-oriented embedding is sufficient.
depth_only,Depth-only,"IMDb QG9: $G2,G8,G9$; FIBEN Q2: $G9$; LDBC IC7: $G3,G4,G6$","Select candidates using structural depth without relationship semantics, sharedness, or update-volatility evidence.",Tests whether structural coverage alone explains the winners.
relationship_type_only,Relationship-type-only,"IMDb QG9: $G0,G2,G3$; FIBEN Q2: $G3$; LDBC IC7: $G0,G3$",Use the dominant relationship type without the full analytical matrix.,Tests whether semantic family alone is enough.
random_k,Random-$k$,IMDb QG9: random sample with $k=9$; FIBEN Q2: random sample with $k=5$; LDBC IC7: random sample with $k=4$,Sample the same number of candidates as SchemaLens for the same query-scale case.,Non-explanatory sanity check for reduced-space size.
