baseline,total_cases,available_cases,unavailable_cases,availability_ratio,top1_preservation_rate,top3_preservation_rate,near_best_preservation_rate,mean_relative_regret,median_relative_regret,max_relative_regret,mean_baseline_best_p95,mean_global_best_p95
always_embed,126,90,36,0.7142857142857143,0.4888888888888889,0.9333333333333333,0.6444444444444445,0.12374045902561011,0.00033170757212369997,1.4081701039427823,36.06373551235366,34.013744646153
always_reference,126,126,0,1.0,0.626984126984127,0.9682539682539683,0.7777777777777778,0.10753026911582994,0.0,4.459762526062796,38.85249017620236,36.71034903764805
depth_only,126,90,36,0.7142857142857143,0.5888888888888889,0.8666666666666667,0.7222222222222222,0.11059515268124565,0.0,1.4081701039427823,51.08064631479566,49.589079489491674
random_k,126,126,0,1.0,0.8883809523809523,0.995531746031746,0.9328333333333334,0.027627466413758867,0.0,0.7424479118118287,36.85090579066722,36.71034903764805
relationship_type_only,126,117,9,0.9285714285714286,0.5299145299145299,0.811965811965812,0.6666666666666666,0.8959062086337348,0.0,38.0906530366016,43.01845983175313,39.41960091203024
schema_lens,126,126,0,1.0,0.8650793650793651,1.0,0.9206349206349206,0.032400635592234085,0.0,1.3903518947787057,37.21692986907747,36.71034903764805
