dataset,scale_label,query_name,run_phase,selected_g_classes,selected_config_count,activated_count,dsr,global_best_g_class,baseline_best_g_class,top1_preserved,top3_preserved,near_best_preserved,relative_regret
imdb,sf0.25,QG2_WatchItemByTitle,hot,G0|G2|G3|G4|G5|G6,6,6,0.4,G9,G3,0.0,1.0,1.0,0.042110307247159
imdb,sf0.25,QG3_RecommendationByGenreAndSubtype,hot,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,9,0.09999999999999998,G8,G8,1.0,1.0,1.0,0.0
imdb,sf0.25,QG4_AllPersonsOfTypeForWatchItem,hot,G0|G2|G3|G4|G5|G6,6,6,0.4,G6,G6,1.0,1.0,1.0,0.0
imdb,sf0.25,QG5_AllPersonsForEpisodesOfSeries,hot,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,9,0.09999999999999998,G4,G4,1.0,1.0,1.0,0.0
imdb,sf0.25,QG6_EpisodesOfSeries,hot,G3|G7|G8|G9,4,4,0.6,G2,G7,0.0,1.0,0.0,0.453568218884658
imdb,sf0.25,QG7_UpdateWatchItemMetadata,hot,G0|G2|G3|G4|G5|G6,6,6,0.4,G8,G6,0.0,1.0,1.0,0.0212738294404616
imdb,sf0.25,QG8_AddPersonRoleToWatchItem,hot,G0|G2|G3|G4|G5|G6,6,6,0.4,G0,G0,1.0,1.0,1.0,0.0
imdb,sf0.25,QG9_TopRatedSeriesByGenre,hot,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,9,0.09999999999999998,G7,G7,1.0,1.0,1.0,0.0
imdb,sf0.5,QG10_AdvancedSearchWatchItems,hot,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,9,0.09999999999999998,G7,G7,1.0,1.0,1.0,0.0
imdb,sf0.5,QG1_WatchItemById,hot,G0|G2|G3|G4|G5|G6,6,6,0.4,G7,G3,0.0,1.0,0.0,0.3116793013176522
imdb,sf0.5,QG2_WatchItemByTitle,hot,G0|G2|G3|G4|G5|G6,6,6,0.4,G7,G0,0.0,1.0,0.0,0.0748278520969041
imdb,sf0.5,QG3_RecommendationByGenreAndSubtype,hot,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,9,0.09999999999999998,G8,G8,1.0,1.0,1.0,0.0
imdb,sf0.5,QG4_AllPersonsOfTypeForWatchItem,hot,G0|G2|G3|G4|G5|G6,6,6,0.4,G5,G5,1.0,1.0,1.0,0.0
imdb,sf0.5,QG5_AllPersonsForEpisodesOfSeries,hot,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,9,0.09999999999999998,G4,G4,1.0,1.0,1.0,0.0
imdb,sf0.5,QG6_EpisodesOfSeries,hot,G3|G7|G8|G9,4,4,0.6,G7,G7,1.0,1.0,1.0,0.0
imdb,sf0.5,QG7_UpdateWatchItemMetadata,hot,G0|G2|G3|G4|G5|G6,6,6,0.4,G7,G3,0.0,1.0,0.0,0.0631082601927065
