dataset,scale_label,query_name,query_scale_phase_id,config_id,g_class,design_family,benchmark_group,run_phase,n_runs,n_success_runs,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,std_latency_ms,avg_documents_returned,avg_documents_written,source_experiment_id,source_file
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::hot,q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references,G5,shared_target_reference_strategy,primary,hot,10,10,0.669762387406081,0.6532664992846549,0.7483014196623117,0.7568834407720715,0.6176970200613141,0.7590289460495114,0.0490076065926829,0.0,3.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::hot,q10_create_account_holding_and_buy_transaction__g7__update_aware_references,G7,update_aware_reference_design,secondary_affected,hot,10,10,0.6168022751808167,0.6163219222798944,0.64081612508744,0.646036877296865,0.5959339905530214,0.6473420653492212,0.0151773075140196,0.0,3.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::hot,q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,benchmark_tradeoff_alternative,secondary_affected,hot,10,10,0.5230771959759295,0.5186115158721805,0.5755637714173645,0.5840007017832249,0.4757069982588291,0.5861099343746901,0.0315740963092361,0.0,3.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q1_CompanyProfileIBM,fiben::sf1::Q1_CompanyProfileIBM::cold,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,normalized_reference_baseline,control,cold,10,10,0.2765874844044447,0.2246709773316979,0.524259608937427,0.6918190920259805,0.1973899779841303,0.7337089627981186,0.1536403352834356,1.0,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q1_CompanyProfileIBM,fiben::sf1::Q1_CompanyProfileIBM::cold,q1_company_profile_ibm__g0__root_only,G0,root_only_collection,primary,cold,10,10,0.2104118117131292,0.1904789824038744,0.2976407238747923,0.3530609037261456,0.1725360052660107,0.3669159486889839,0.0535320058873453,1.0,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q1_CompanyProfileIBM,fiben::sf1::Q1_CompanyProfileIBM::hot,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,normalized_reference_baseline,control,hot,10,10,0.2086832886561751,0.2099014818668365,0.2333730109967291,0.2420850773341953,0.1805659849196672,0.2442630939185619,0.0179055411818491,1.0,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q1_CompanyProfileIBM,fiben::sf1::Q1_CompanyProfileIBM::hot,q1_company_profile_ibm__g0__root_only,G0,root_only_collection,primary,hot,10,10,0.2659029560163617,0.2054014476016163,0.5578436190262431,0.7548654498532416,0.1817909069359302,0.8041209075599909,0.1804709705659777,1.0,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,q2_company_with_industry_country_and_listed_securities__control__normalized_reference_baseline,CONTROL,normalized_reference_baseline,control,cold,10,10,0.2700299024581909,0.2694089780561626,0.355646142270416,0.3611372108571231,0.1688690390437841,0.3625099780037999,0.0674279649660714,1.0,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,embedded_descriptors,primary,cold,10,10,0.1417523832060396,0.1347064389847219,0.2041728235781192,0.2326513454318046,0.1098290085792541,0.239770975895226,0.035499775312636,1.0,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,q2_company_with_industry_country_and_listed_securities__g3__association_references,G3,association_references,primary,cold,10,10,0.1566253835335374,0.1325024641118943,0.2414244867395608,0.2763552719261497,0.1144100679084658,0.2850879682227969,0.0494857795358876,1.0,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
