dataset,query_order,query_name,scale_label,semantic_family,activated_configs,best_observed_config,best_observed_g,activated_best_config,activated_best_g,full_best_p95_ms,activated_best_p95_ms,dsr,top1_preserved,near_best_preserved,relative_regret,status
imdb,1,QG1_WatchItemById,sf0.25,local lookup,"G0,G2,G3,G4,G5,G6",series_g9,G9,watchitem_g2,G2,0.2058836013020482,0.2284863494423916,0.4,0,0,0.10978411100932374,ok
imdb,1,QG1_WatchItemById,sf0.5,local lookup,"G0,G2,G3,G4,G5,G6",series_g7,G7,watchitem_g3,G3,0.1924242096720263,0.2523988528992049,0.4,0,0,0.3116793013176522,ok
imdb,1,QG1_WatchItemById,sf1,local lookup,"G0,G2,G3,G4,G5,G6",series_g9,G9,watchitem_g2,G2,0.2132579043973237,0.2141850061889272,0.4,0,1,0.004347326746098915,ok
imdb,2,QG2_WatchItemByTitle,sf0.25,filtered lookup,"G0,G2,G3,G4,G5,G6",series_g9,G9,watchitem_g3,G3,0.2828345986927161,0.2947448505437933,0.4,0,1,0.04211030724715901,ok
imdb,2,QG2_WatchItemByTitle,sf0.5,filtered lookup,"G0,G2,G3,G4,G5,G6",series_g7,G7,watchitem_g0,G0,0.2852347490261309,0.3065782526391558,0.4,0,0,0.07482785209690414,ok
imdb,2,QG2_WatchItemByTitle,sf1,filtered lookup,"G0,G2,G3,G4,G5,G6",series_g8,G8,watchitem_g0,G0,0.3094789477472659,0.3165574067679699,0.4,0,1,0.022872182654842668,ok
imdb,3,QG3_RecommendationByGenreAndSubtype,sf0.25,association / recommendation,"G0,G2,G3,G4,G5,G6,G7,G8,G9",series_g8,G8,series_g8,G8,5.637626150928553,5.637626150928553,0.09999999999999998,1,1,0.0,ok
imdb,3,QG3_RecommendationByGenreAndSubtype,sf0.5,association / recommendation,"G0,G2,G3,G4,G5,G6,G7,G8,G9",series_g8,G8,series_g8,G8,7.588796650088624,7.588796650088624,0.09999999999999998,1,1,0.0,ok
imdb,3,QG3_RecommendationByGenreAndSubtype,sf1,association / recommendation,"G0,G2,G3,G4,G5,G6,G7,G8,G9",series_g8,G8,series_g8,G8,10.41732880621566,10.41732880621566,0.09999999999999998,1,1,0.0,ok
imdb,4,QG4_AllPersonsOfTypeForWatchItem,sf0.25,associative,"G0,G2,G3,G4,G5,G6",watchitem_g6,G6,watchitem_g6,G6,0.3935545493732206,0.3935545493732206,0.4,1,1,0.0,ok
imdb,4,QG4_AllPersonsOfTypeForWatchItem,sf0.5,associative,"G0,G2,G3,G4,G5,G6",watchitem_g5,G5,watchitem_g5,G5,0.3330338535306509,0.3330338535306509,0.4,1,1,0.0,ok
imdb,4,QG4_AllPersonsOfTypeForWatchItem,sf1,associative,"G0,G2,G3,G4,G5,G6",watchitem_g6,G6,watchitem_g6,G6,0.2023525965341832,0.2023525965341832,0.4,1,1,0.0,ok
imdb,5,QG5_AllPersonsForEpisodesOfSeries,sf0.25,deep associative / containment-affected,"G0,G2,G3,G4,G5,G6,G7,G8,G9",watchitem_g4,G4,watchitem_g4,G4,81.24685599796065,81.24685599796065,0.09999999999999998,1,1,0.0,ok
imdb,5,QG5_AllPersonsForEpisodesOfSeries,sf0.5,deep associative / containment-affected,"G0,G2,G3,G4,G5,G6,G7,G8,G9",watchitem_g4,G4,watchitem_g4,G4,164.45552805307668,164.45552805307668,0.09999999999999998,1,1,0.0,ok
imdb,5,QG5_AllPersonsForEpisodesOfSeries,sf1,deep associative / containment-affected,"G0,G2,G3,G4,G5,G6,G7,G8,G9",watchitem_g4,G4,watchitem_g4,G4,367.5689083487668,367.5689083487668,0.09999999999999998,1,1,0.0,ok
imdb,6,QG6_EpisodesOfSeries,sf0.25,containment,"G3,G7,G8,G9",watchitem_g2,G2,series_g7,G7,0.6322362009086646,0.9189984484692104,0.6,0,0,0.453568218884658,ok
imdb,6,QG6_EpisodesOfSeries,sf0.5,containment,"G3,G7,G8,G9",series_g7,G7,series_g7,G7,1.0162401005800346,1.0162401005800346,0.6,1,1,0.0,ok
imdb,6,QG6_EpisodesOfSeries,sf1,containment,"G3,G7,G8,G9",series_g7,G7,series_g7,G7,2.2719003987731408,2.2719003987731408,0.6,1,1,0.0,ok
imdb,7,QG7_UpdateWatchItemMetadata,sf0.25,update,"G0,G2,G3,G4,G5,G6",series_g8,G8,watchitem_g6,G6,0.262326949450653,0.2679076482309028,0.4,0,1,0.02127382944046168,ok
imdb,7,QG7_UpdateWatchItemMetadata,sf0.5,update,"G0,G2,G3,G4,G5,G6",series_g7,G7,watchitem_g3,G3,0.2189182479924056,0.2327337977476418,0.4,0,0,0.06310826019270654,ok
imdb,7,QG7_UpdateWatchItemMetadata,sf1,update,"G0,G2,G3,G4,G5,G6",series_g8,G8,watchitem_g2,G2,0.2347379522689152,0.2366578526562079,0.4,0,1,0.008178909156936273,ok
imdb,8,QG8_AddPersonRoleToWatchItem,sf0.25,insert / associative update,"G0,G2,G3,G4,G5,G6",watchitem_g0,G0,watchitem_g0,G0,0.4179502480837982,0.4179502480837982,0.4,1,1,0.0,ok
