dataset,scale_label,query_name,global_best_g_class,global_best_p95,schema_lens_selected_space,baseline_available_count,baseline_hit_count,baseline_miss_count,baseline_mean_miss_regret,baseline_max_miss_regret,baseline_has_strong_miss,baseline_hit_details,baseline_miss_details,random_k_top1_or_probability,random_k_expected_p95,random_k_regret,ablation_available_count,ablation_hit_count,ablation_miss_count,ablation_mean_miss_regret,ablation_max_miss_regret,ablation_has_strong_miss,ablation_hit_details,ablation_miss_details,case_focus,selected_root,Rc,D,Re,DeltaRratio,dominant_semantic_type,update_volatility_max,observed_sharedness_max,query_family,query_type,baseline_score,ablation_score,joint_score,case_type
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,G5,0.1171174575574696,G1|G3|G5|G7|G9,4,1,3,0.12132544981453312,0.1411864620911887,1,always_embed->G5 p95=0.117 delta=0.000 regret=0.000,always_reference->G7 p95=0.129 delta=0.012 regret=0.100; depth_only->G9 p95=0.134 delta=0.017 regret=0.141; relationship_type_only->G3 p95=0.132 delta=0.014 regret=0.123,0.832,0.119082643231377,0.0167796135169949,6,3,3,0.0998786518868744,0.0998786518868744,0,no_depth->G5 p95=0.117 delta=0.000 regret=0.000 (space=G1|G3|G5|G7|G9); no_residual_traversal->G5 p95=0.117 delta=0.000 regret=0.000 (space=G1|G3|G5|G7; removed=G9); no_update_volatility->G5 p95=0.117 delta=0.000 regret=0.000 (space=G1|G3|G5|G9; removed=G7),no_relationship_semantics->G7 p95=0.129 delta=0.012 regret=0.100 (space=G7|G9; removed=G1|G3|G5); no_sharedness->G7 p95=0.129 delta=0.012 regret=0.100 (space=G1|G3|G7|G9; removed=G5); no_relationship_semantics_no_depth->G7 p95=0.129 delta=0.012 regret=0.100 (space=G7|G9; removed=G1|G3|G5),,,,,,,,,,,,6.2625119119057215,6.199757303773749,15.562147867566345,baseline_strong
ldbc_snb,sf0.1,IC3_FriendsAndFriendsOfFriendsInCountries,G3,645.5053343670442,G0|G3|G7|G9,4,3,1,0.1304533397123859,0.1304533397123859,1,always_reference->G3 p95=645.505 delta=0.000 regret=0.000; depth_only->G3 p95=645.505 delta=0.000 regret=0.000; relationship_type_only->G3 p95=645.505 delta=0.000 regret=0.000,always_embed->G9 p95=729.714 delta=84.208 regret=0.130,1.0,645.5053343670442,0.0,6,0,6,0.0434623635272095,0.0434623635272095,0,,no_relationship_semantics->G0 p95=673.561 delta=28.055 regret=0.043 (space=G0|G7|G9; removed=G3); no_depth->G0 p95=673.561 delta=28.055 regret=0.043 (space=G0|G7|G9; removed=G3); no_residual_traversal->G0 p95=673.561 delta=28.055 regret=0.043 (space=G0|G7; removed=G3|G9); no_sharedness->G0 p95=673.561 delta=28.055 regret=0.043 (space=G0|G7; removed=G3|G9); no_update_volatility->G0 p95=673.561 delta=28.055 regret=0.043 (space=G0; removed=G3|G7|G9); no_relationship_semantics_no_depth->G0 p95=673.561 delta=28.055 regret=0.043 (space=G0|G7|G9; removed=G3),,,,,,,,,,,,2.260906679424772,12.08692472705442,15.478284746191576,baseline_moderate
ldbc_snb,sf3,IC6_TagCoOccurrence,G3,99.28986779414116,G0|G3,4,3,1,0.0,0.0,0,always_reference->G3 p95=99.290 delta=0.000 regret=0.000; depth_only->G3 p95=99.290 delta=0.000 regret=0.000; relationship_type_only->G3 p95=99.290 delta=0.000 regret=0.000,always_embed-> p95=0.000 delta=-99.290 regret=0.000,1.0,99.28986779414116,0.0,6,0,6,0.0930593904066354,0.0930593904066354,0,,no_relationship_semantics->G0 p95=108.530 delta=9.240 regret=0.093 (space=G0; removed=G3); no_depth->G0 p95=108.530 delta=9.240 regret=0.093 (space=G0; removed=G3); no_residual_traversal->G0 p95=108.530 delta=9.240 regret=0.093 (space=G0; removed=G3); no_sharedness->G0 p95=108.530 delta=9.240 regret=0.093 (space=G0; removed=G3); no_update_volatility->G0 p95=108.530 delta=9.240 regret=0.093 (space=G0; removed=G3); no_relationship_semantics_no_depth->G0 p95=108.530 delta=9.240 regret=0.093 (space=G0; removed=G3),,,,,,,,,,,,2.0,12.18611878081327,15.18611878081327,weak_or_redundant
ldbc_snb,sf0.1,IC5_NewGroups,G3,2962.312255683355,G0|G3|G4|G6|G7|G9,4,3,1,0.0256387192211594,0.0256387192211594,0,always_reference->G3 p95=2962.312 delta=0.000 regret=0.000; depth_only->G3 p95=2962.312 delta=0.000 regret=0.000; relationship_type_only->G3 p95=2962.312 delta=0.000 regret=0.000,always_embed->G4 p95=3038.262 delta=75.950 regret=0.026,1.0,2962.312255683355,0.0,6,0,6,0.012760595499377964,0.0255334119671853,0,,no_relationship_semantics->G7 p95=2992.546 delta=30.233 regret=0.010 (space=G0|G7|G9; removed=G3|G4|G6); no_depth->G7 p95=2992.546 delta=30.233 regret=0.010 (space=G0|G6|G7|G9; removed=G3|G4); no_residual_traversal->G7 p95=2992.546 delta=30.233 regret=0.010 (space=G0|G6|G7; removed=G3|G4|G9); no_sharedness->G7 p95=2992.546 delta=30.233 regret=0.010 (space=G0|G4|G7; removed=G3|G6|G9); no_update_volatility->G0 p95=3037.950 delta=75.638 regret=0.026 (space=G0|G4|G6; removed=G3|G7|G9); no_relationship_semantics_no_depth->G7 p95=2992.546 delta=30.233 regret=0.010 (space=G0|G7|G9; removed=G3|G4|G6),official complex read / association + containment mix,Person,5.0,3.0,2.0,0.6000000000000001,association,1.0,0.106448461162677,complex_read,read,2.0512774384423187,12.038294007466563,15.11521016513004,weak_or_redundant
ldbc_snb,sf0.1,IC2_RecentMessagesByFriends,G3,11.36461275164038,G0|G3,4,3,1,0.0,0.0,0,always_reference->G3 p95=11.365 delta=0.000 regret=0.000; depth_only->G3 p95=11.365 delta=0.000 regret=0.000; relationship_type_only->G3 p95=11.365 delta=0.000 regret=0.000,always_embed-> p95=0.000 delta=-11.365 regret=0.000,1.0,11.36461275164038,0.0,6,0,6,0.0265426082785583,0.0265426082785583,0,,no_relationship_semantics->G0 p95=11.666 delta=0.302 regret=0.027 (space=G0; removed=G3); no_depth->G0 p95=11.666 delta=0.302 regret=0.027 (space=G0; removed=G3); no_residual_traversal->G0 p95=11.666 delta=0.302 regret=0.027 (space=G0; removed=G3); no_sharedness->G0 p95=11.666 delta=0.302 regret=0.027 (space=G0; removed=G3); no_update_volatility->G0 p95=11.666 delta=0.302 regret=0.027 (space=G0; removed=G3); no_relationship_semantics_no_depth->G0 p95=11.666 delta=0.302 regret=0.027 (space=G0; removed=G3),,,,,,,,,,,,2.0,12.053085216557118,15.053085216557118,weak_or_redundant
ldbc_snb,sf1,IC4_NewTopics,G3,61.061802972108126,G0|G3,4,3,1,0.0,0.0,0,always_reference->G3 p95=61.062 delta=0.000 regret=0.000; depth_only->G3 p95=61.062 delta=0.000 regret=0.000; relationship_type_only->G3 p95=61.062 delta=0.000 regret=0.000,always_embed-> p95=0.000 delta=-61.062 regret=0.000,1.0,61.061802972108126,0.0,6,0,6,0.0230875785847138,0.0230875785847138,0,,no_relationship_semantics->G0 p95=62.472 delta=1.410 regret=0.023 (space=G0; removed=G3); no_depth->G0 p95=62.472 delta=1.410 regret=0.023 (space=G0; removed=G3); no_residual_traversal->G0 p95=62.472 delta=1.410 regret=0.023 (space=G0; removed=G3); no_sharedness->G0 p95=62.472 delta=1.410 regret=0.023 (space=G0; removed=G3); no_update_volatility->G0 p95=62.472 delta=1.410 regret=0.023 (space=G0; removed=G3); no_relationship_semantics_no_depth->G0 p95=62.472 delta=1.410 regret=0.023 (space=G0; removed=G3),,,,,,,,,,,,2.0,12.04617515716943,15.04617515716943,weak_or_redundant
ldbc_snb,sf0.1,IS2_RecentMessagesOfPerson,G9,1.3761401642113915,G0|G3|G4|G6|G7|G9,4,2,2,0.5033546615611577,0.5866661523257781,1,always_embed->G9 p95=1.376 delta=0.000 regret=0.000; depth_only->G9 p95=1.376 delta=0.000 regret=0.000,always_reference->G7 p95=1.954 delta=0.578 regret=0.420; relationship_type_only->G3 p95=2.183 delta=0.807 regret=0.587,1.0,1.376140164211392,0.0,6,3,3,0.451479426561794,0.5143519380923073,1,no_relationship_semantics->G9 p95=1.376 delta=0.000 regret=0.000 (space=G0|G7|G9; removed=G3|G4|G6); no_depth->G9 p95=1.376 delta=0.000 regret=0.000 (space=G0|G6|G7|G9; removed=G3|G4); no_relationship_semantics_no_depth->G9 p95=1.376 delta=0.000 regret=0.000 (space=G0|G7|G9; removed=G3|G4|G6),no_residual_traversal->G7 p95=1.954 delta=0.578 regret=0.420 (space=G0|G6|G7; removed=G3|G4|G9); no_sharedness->G7 p95=1.954 delta=0.578 regret=0.420 (space=G0|G4|G7; removed=G3|G6|G9); no_update_volatility->G6 p95=2.084 delta=0.708 regret=0.514 (space=G0|G4|G6; removed=G3|G7|G9),official short read / messages of person,Person,4.0,2.0,2.0,0.5,mixed,1.0,0.106448461162677,short_read,read,5.090020813886936,6.965831364654101,14.600862585484506,joint_strong
imdb,sf0.25,QG3_RecommendationByGenreAndSubtype,G8,5.637626150928553,G0|G2|G3|G4|G5|G6|G7|G8|G9,4,2,2,0.0776049152647177,0.0955343675598919,0,always_embed->G8 p95=5.638 delta=0.000 regret=0.000; depth_only->G8 p95=5.638 delta=0.000 regret=0.000,always_reference->G7 p95=5.974 delta=0.336 regret=0.060; relationship_type_only->G2 p95=6.176 delta=0.539 regret=0.096,1.0,5.637626150928553,0.0,6,2,4,0.025229488997799924,0.0596754629695435,0,no_sharedness->G8 p95=5.638 delta=0.000 regret=0.000 (space=G0|G2|G3|G4|G7|G8|G9; removed=G5|G6); no_update_volatility->G8 p95=5.638 delta=0.000 regret=0.000 (space=G0|G2|G3|G4|G5|G6|G8|G9; removed=G7),no_relationship_semantics->G9 p95=5.715 delta=0.078 regret=0.014 (space=G0|G4|G7|G9; removed=G2|G3|G5|G6|G8); no_depth->G9 p95=5.715 delta=0.078 regret=0.014 (space=G0|G2|G3|G5|G6|G7|G9; removed=G4|G8); no_residual_traversal->G7 p95=5.974 delta=0.336 regret=0.060 (space=G0|G2|G3|G5|G6|G7; removed=G4|G8|G9); no_relationship_semantics_no_depth->G9 p95=5.715 delta=0.078 regret=0.014 (space=G0|G7|G9; removed=G2|G3|G4|G5|G6|G8),,,,,,,,,,,,4.173139282824609,8.084904951967344,14.344613876204257,weak_or_redundant
fiben,sf30,Q2_CompanyWithIndustryCountryAndListedSecurities,G9,0.2507009194232523,G1|G3|G5|G7|G9,4,2,2,2.6505106443938242,5.148322443719064,1,always_embed->G9 p95=0.251 delta=0.000 regret=0.000; depth_only->G9 p95=0.251 delta=0.000 regret=0.000,always_reference->CONTROL p95=0.289 delta=0.038 regret=0.153; relationship_type_only->G3 p95=1.541 delta=1.291 regret=5.148,0.847,0.2533442532236222,0.0105437738579139,6,5,1,0.0689135546268886,0.0689135546268886,0,no_relationship_semantics->G9 p95=0.251 delta=0.000 regret=0.000 (space=G7|G9; removed=G1|G3|G5); no_depth->G9 p95=0.251 delta=0.000 regret=0.000 (space=G1|G3|G5|G7|G9); no_sharedness->G9 p95=0.251 delta=0.000 regret=0.000 (space=G1|G3|G7|G9; removed=G5); no_update_volatility->G9 p95=0.251 delta=0.000 regret=0.000 (space=G1|G3|G5|G9; removed=G7); no_relationship_semantics_no_depth->G9 p95=0.251 delta=0.000 regret=0.000 (space=G7|G9; removed=G1|G3|G5),no_residual_traversal->G1 p95=0.268 delta=0.017 regret=0.069 (space=G1|G3|G5|G7; removed=G9),,,,,,,,,,,,11.0,2.1378271092537773,14.206740663880666,baseline_strong
imdb,sf0.5,QG3_RecommendationByGenreAndSubtype,G8,7.588796650088624,G0|G2|G3|G4|G5|G6|G7|G8|G9,4,2,2,0.031683102912252,0.0476180905366857,0,always_embed->G8 p95=7.589 delta=0.000 regret=0.000; depth_only->G8 p95=7.589 delta=0.000 regret=0.000,always_reference->G7 p95=7.708 delta=0.120 regret=0.016; relationship_type_only->G0 p95=7.950 delta=0.361 regret=0.048,1.0,7.588796650088624,0.0,6,2,4,0.004948182941713126,0.0157481152878183,0,no_sharedness->G8 p95=7.589 delta=0.000 regret=0.000 (space=G0|G2|G3|G4|G7|G8|G9; removed=G5|G6); no_update_volatility->G8 p95=7.589 delta=0.000 regret=0.000 (space=G0|G2|G3|G4|G5|G6|G8|G9; removed=G7),no_relationship_semantics->G9 p95=7.599 delta=0.010 regret=0.001 (space=G0|G4|G7|G9; removed=G2|G3|G5|G6|G8); no_depth->G9 p95=7.599 delta=0.010 regret=0.001 (space=G0|G2|G3|G5|G6|G7|G9; removed=G4|G8); no_residual_traversal->G7 p95=7.708 delta=0.120 regret=0.016 (space=G0|G2|G3|G5|G6|G7; removed=G4|G8|G9); no_relationship_semantics_no_depth->G9 p95=7.599 delta=0.010 regret=0.001 (space=G0|G7|G9; removed=G2|G3|G4|G5|G6|G8),,,,,,,,,,,,4.079301193448938,8.020696298229533,14.13964808840294,weak_or_redundant
