Dataset,#cases,avg_|A|,avg_DSR,Top-1,Top-3,Near-best,Mean_regret,Max_regret
IMDb,30,7.0,0.3,19,30,25,0.038720678054772736,0.453568218884658
FIBEN,30,5.0,0.5,25,30,26,0.08010166361254165,1.3903518947787057
LDBC SNB,66,2.8636363636363638,0.7136363636363637,63,66,66,0.0011254034334085986,0.0417511087848614
All,126,4.357142857142857,0.5642857142857143,107,126,117,0.028880530766860313,1.3903518947787057
