dataset,scale_label,query_name,run_phase,query_scale_phase_id,baseline,availability_status,selected_g_classes,selected_config_count,global_best_config_id,global_best_g_class,global_best_p95,baseline_best_config_id,baseline_best_g_class,baseline_best_p95,top1_preserved,top3_preserved,near_best_preserved,relative_regret,random_repetitions,random_k_size,random_top1_std,random_top3_std,random_near_best_std,random_regret_std,note
fiben,sf1,Q1_CompanyProfileIBM,cold,fiben::sf1::Q1_CompanyProfileIBM::cold,random_k,available,random_sample_k=1,1,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,,,0.4104969286359844,0.502,1.0,0.502,0.3791692322609286,1000,1,0.4999959999839998,0.0,0.4999959999839998,0.3806889547137923,Random-k is averaged over repeated samples from measured configuration classes.
fiben,sf1,Q1_CompanyProfileIBM,cold,fiben::sf1::Q1_CompanyProfileIBM::cold,always_reference,available,CONTROL|G0,2,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,1.0,1.0,1.0,0.0,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q1_CompanyProfileIBM,cold,fiben::sf1::Q1_CompanyProfileIBM::cold,always_embed,unavailable,,0,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,,,,,,,,,,,,,,Baseline selected no measured configuration class for this case; no latency was inferred.
fiben,sf1,Q1_CompanyProfileIBM,cold,fiben::sf1::Q1_CompanyProfileIBM::cold,depth_only,unavailable,,0,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,,,,,,,,,,,,,,Baseline selected no measured configuration class for this case; no latency was inferred.
fiben,sf1,Q1_CompanyProfileIBM,cold,fiben::sf1::Q1_CompanyProfileIBM::cold,relationship_type_only,available,CONTROL|G0,2,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,1.0,1.0,1.0,0.0,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q1_CompanyProfileIBM,hot,fiben::sf1::Q1_CompanyProfileIBM::hot,schema_lens,available,G0,1,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,0.2333730109967291,q1_company_profile_ibm__g0__root_only,G0,0.5578436190262431,0.0,1.0,0.0,1.3903518947787055,,,,,,,SchemaLens selects all non-control measured configuration classes for this case.
fiben,sf1,Q1_CompanyProfileIBM,hot,fiben::sf1::Q1_CompanyProfileIBM::hot,random_k,available,random_sample_k=1,1,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,0.2333730109967291,,,0.40664031568448955,0.466,1.0,0.466,0.7424479118118287,1000,1,0.4988426605654333,0.0,0.4988426605654333,0.6935668383136006,Random-k is averaged over repeated samples from measured configuration classes.
fiben,sf1,Q1_CompanyProfileIBM,hot,fiben::sf1::Q1_CompanyProfileIBM::hot,always_reference,available,CONTROL|G0,2,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,0.2333730109967291,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,0.2333730109967291,1.0,1.0,1.0,0.0,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q1_CompanyProfileIBM,hot,fiben::sf1::Q1_CompanyProfileIBM::hot,always_embed,unavailable,,0,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,0.2333730109967291,,,,,,,,,,,,,,Baseline selected no measured configuration class for this case; no latency was inferred.
fiben,sf1,Q1_CompanyProfileIBM,hot,fiben::sf1::Q1_CompanyProfileIBM::hot,depth_only,unavailable,,0,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,0.2333730109967291,,,,,,,,,,,,,,Baseline selected no measured configuration class for this case; no latency was inferred.
fiben,sf1,Q1_CompanyProfileIBM,hot,fiben::sf1::Q1_CompanyProfileIBM::hot,relationship_type_only,available,CONTROL|G0,2,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,0.2333730109967291,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,0.2333730109967291,1.0,1.0,1.0,0.0,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,schema_lens,available,G1|G3|G5|G7|G9,5,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.2041728235781192,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.2041728235781192,1.0,1.0,1.0,0.0,,,,,,,SchemaLens selects all non-control measured configuration classes for this case.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,random_k,available,random_sample_k=5,5,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.2041728235781192,,,0.20486952140345233,0.845,1.0,1.0,0.0034122946096522026,1000,5,0.36190468358395134,0.0,0.0,0.007967260651621958,Random-k is averaged over repeated samples from measured configuration classes.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,always_reference,available,CONTROL|G3|G7,3,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.2041728235781192,q2_company_with_industry_country_and_listed_securities__g3__association_references,G3,0.2414244867395608,0.0,1.0,0.0,0.1824516236226151,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,always_embed,available,G5|G9,2,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.2041728235781192,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.2086676482576875,0.0,1.0,1.0,0.02201480393324002,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,depth_only,available,G9,1,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.2041728235781192,q2_company_with_industry_country_and_listed_securities__g9__tradeoff_benchmark_candidate,G9,0.5093396466691043,0.0,0.0,0.0,1.4946495706086185,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,relationship_type_only,available,G3,1,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.2041728235781192,q2_company_with_industry_country_and_listed_securities__g3__association_references,G3,0.2414244867395608,0.0,1.0,0.0,0.1824516236226151,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,schema_lens,available,G1|G3|G5|G7|G9,5,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,1.0,1.0,1.0,0.0,,,,,,,SchemaLens selects all non-control measured configuration classes for this case.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,random_k,available,random_sample_k=5,5,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,,,0.119082643231377,0.832,1.0,0.832,0.016779613516994907,1000,5,0.3738662862575335,0.0,0.3738662862575335,0.03734126065735475,Random-k is averaged over repeated samples from measured configuration classes.
