dataset,query_name,scale_label,global_best_g_class,schema_lens_top1_preserved,schema_lens_near_best_preserved,activation_matrix_classes,schema_lens_selected_classes,benchmark_measured_classes,consistency_status,consistency_explanation
imdb,QG6_EpisodesOfSeries,sf0.25,G2,0,0,G7|G8|G9,G3|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,NOT_PRESERVED,SchemaLens did not preserve the measured Top-1 for this case/scale. Use as failure or near-failure evidence.
imdb,QG10_AdvancedSearchWatchItems,sf0.25,G9,1,1,G0|G2|G3,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,OK_SELECTED_BEYOND_RAW_ACTIVATION,"The global winner is not listed in the raw activation-matrix classes, but it is in the final SchemaLens benchmark-selected space. Report activation_matrix_classes and schema_lens_selected_classes separately."
imdb,QG10_AdvancedSearchWatchItems,sf0.5,G7,1,1,G0|G2|G3,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,OK_SELECTED_BEYOND_RAW_ACTIVATION,"The global winner is not listed in the raw activation-matrix classes, but it is in the final SchemaLens benchmark-selected space. Report activation_matrix_classes and schema_lens_selected_classes separately."
imdb,QG10_AdvancedSearchWatchItems,sf1,G9,1,1,G0|G2|G3,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,OK_SELECTED_BEYOND_RAW_ACTIVATION,"The global winner is not listed in the raw activation-matrix classes, but it is in the final SchemaLens benchmark-selected space. Report activation_matrix_classes and schema_lens_selected_classes separately."
fiben,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,sf1,CONTROL,0,0,G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,CONTROL|G2|G3|G4|G5|G7|G9,CONTROL_WINNER,The global winner is CONTROL. This is a genuine missed Top-1 case if schema_lens_top1_preserved=0; it should be discussed as a failure or scale-sensitive case.
