query_id,winner,lmm_hot_p95_ms,schemalens_best_hot_p95_ms,lmm_over_schemalens_ratio,lmm_mean_returned,schemalens_mean_returned,returned_ratio_lmm_over_schemalens,comparability_flag,schemalens_candidate_id,schemalens_group,schemalens_g_class,schemalens_design_pattern
Q1,LMM,0.1894427463412284,0.2247715950943529,0.8428233392288984,1.0,1.0,1.0,cardinality_aligned,q1_company_profile_ibm__g0__root_only,primary,G0,root_only_collection
Q2,SchemaLens,0.5208007991313934,0.2507009194232523,2.077378895655895,1.0,1.0,1.0,cardinality_aligned,q2_company_with_industry_country_and_listed_securities__g9__tradeoff_benchmark_candidate,secondary_affected,G9,benchmark_tradeoff_alternative
Q3,LMM,0.5622680764645334,1.652036904124543,0.34034837542717833,1.0,149.8,0.006675567423230974,lmm_returns_less,q3_securities_held_in_each_financial_service_account__g5__shared_targets_as_references,primary,G5,shared_target_reference_strategy
Q4,LMM,8.899997780099511,17.142359330318868,0.5191816137209604,61.0,1608.0,0.03793532338308458,lmm_returns_less,q4_companies_reached_from_person_through_account_holding_listed_security__g4__deep_nested_path,primary,G4,deep_nested_document
Q5,LMM,0.715147121809423,45.21718232426791,0.015815826751009336,24.0,6801.0,0.0035288928098809,lmm_returns_less,q5_reports_and_metric_data_of_company__control__normalized_reference_baseline,control,CONTROL,normalized_reference_baseline
Q6,SchemaLens,24358.56270838994,418.83483037818223,58.1579203582368,1000.0,100.0,10.0,lmm_returns_more,q6_tech_uslisted_securities_with_high_last_traded_value__g3__association_references,primary,G3,association_references
Q7,SchemaLens,1.4566579833626747,1.322278199950233,1.1016274664571337,97.0,97.0,1.0,cardinality_aligned,q7_persons_who_bought_more_ibmthan_sold__g3__association_references,primary,G3,association_references
Q8,SchemaLens,1.4284644508734343,1.2928820273373276,1.1048683643745414,87.0,88.0,0.9886363636363636,cardinality_aligned,q8_ibmtransactions_below_average_selling_price__g5__shared_targets_as_references,primary,G5,shared_target_reference_strategy
Q9,SchemaLens,2.0073360996320844,1.2238605471793562,1.640167341171682,2.0,0.3,6.666666666666667,lmm_returns_more,q9_persons_who_bought_and_sold_same_stock__g7__update_aware_references,secondary_affected,G7,update_aware_reference_design
