candidate_id,query_name,final_benchmark_group,design_pattern,g_class,root_entity,scale_label,run_phase,repetition,execution_db_name,execution_status,n_components,n_completed_components,n_failed_components,sum_execution_time_millis,sum_n_returned,sum_total_docs_examined,sum_total_keys_examined,docs_per_returned_total,keys_per_returned_total,has_IXSCAN,has_COLLSCAN,has_FETCH,has_SORT,has_AND_SORTED,has_OR,has_PROJECTION,has_LOOKUP,has_GROUP,used_disk,all_stages,all_index_names,query_hashes,plan_cache_keys,n_rejected_plans,sum_estimated_docs_examined_bytes,sum_estimated_returned_bytes,estimated_examined_bytes_per_returned,max_docs_examined_collection_ratio,max_index_to_data_size_ratio,max_collection_avg_obj_size_bytes,collections_touched,source_results_dir
q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,Q10_CreateAccountHoldingAndBuyTransaction,secondary_affected,benchmark_tradeoff_alternative,G9,Person,sf1,hot,1,fiben_exec_sf1,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_tradeoff,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf1_test_v1
q10_create_account_holding_and_buy_transaction__control__normalized_reference_baseline,Q10_CreateAccountHoldingAndBuyTransaction,control,normalized_reference_baseline,CONTROL,Person,sf30,hot,1,fiben_exec_sf30,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_normalized_baseline,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf30_test_v1_skip
q10_create_account_holding_and_buy_transaction__g2__embed_containment_children,Q10_CreateAccountHoldingAndBuyTransaction,primary,embedded_containment,G2,Person,sf30,hot,1,fiben_exec_sf30,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_with_containment,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf30_test_v1_skip
q10_create_account_holding_and_buy_transaction__g3__association_references,Q10_CreateAccountHoldingAndBuyTransaction,primary,association_references,G3,Person,sf30,hot,1,fiben_exec_sf30,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_with_references,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf30_test_v1_skip
q10_create_account_holding_and_buy_transaction__g4__deep_nested_path,Q10_CreateAccountHoldingAndBuyTransaction,primary,deep_nested_document,G4,Person,sf30,hot,1,fiben_exec_sf30,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_deep_nested,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf30_test_v1_skip
q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references,Q10_CreateAccountHoldingAndBuyTransaction,primary,shared_target_reference_strategy,G5,Person,sf30,hot,1,fiben_exec_sf30,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_shared_refs,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf30_test_v1_skip
q10_create_account_holding_and_buy_transaction__g7__update_aware_references,Q10_CreateAccountHoldingAndBuyTransaction,secondary_affected,update_aware_reference_design,G7,Person,sf30,hot,1,fiben_exec_sf30,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_update_aware,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf30_test_v1_skip
q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,Q10_CreateAccountHoldingAndBuyTransaction,secondary_affected,benchmark_tradeoff_alternative,G9,Person,sf30,hot,1,fiben_exec_sf30,skipped,1,0,0,0.0,0,0,0,,,False,False,False,False,False,False,False,False,False,False,,,,,0,0.0,0.0,,,,,persons_tradeoff,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q10_sf30_test_v1_skip
q1_company_profile_ibm__control__normalized_reference_baseline,Q1_CompanyProfileIBM,control,normalized_reference_baseline,CONTROL,Corporation,sf10,hot,1,fiben_exec_sf10,completed,1,1,0,0.0,1,1,1,1.0,1.0,True,False,False,False,False,False,False,False,False,False,EXPRESS_IXSCAN,CORPORATIONID_1,C755DDD7,F0A16EDA,0,570.0,570.0,570.0,0.1,15.085233251490704,570.0,corporations_normalized_baseline,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf10_test_v1_param_only
q1_company_profile_ibm__g0__root_only,Q1_CompanyProfileIBM,primary,root_only_collection,G0,Corporation,sf10,hot,1,fiben_exec_sf10,completed,1,1,0,0.0,1,1,1,1.0,1.0,True,False,False,False,False,False,False,False,False,False,EXPRESS_IXSCAN,CORPORATIONID_1,C755DDD7,F0A16EDA,0,536.0,536.0,536.0,0.1,16.04177545691906,536.0,corporations,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf10_test_v1_param_only
q4_companies_reached_from_person_through_account_holding_listed_security__control__normalized_reference_baseline,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,control,normalized_reference_baseline,CONTROL,Person,sf10,hot,1,fiben_exec_sf10,completed,5,5,0,9.0,669,679,730,1.014947683109118,1.0911808669656202,True,True,True,False,False,False,False,False,False,False,COLLSCAN;EXPRESS_IXSCAN;FETCH;IXSCAN,PERSONID_1;_norm_FINANCIALSERVICEACCOUNTID_1;_norm_ISHELDBY_1;_norm_SECURITYID_1,150E6C33;400A72A1;78862482;D5623B4B;D75FAEE7,36789A5E;387E2BC7;79C4EEA8;94214E4B;F4158575,0,123285.0,117925.0,184.28251121076232,1.0,106.1925925925926,810.0,corporations;financial_service_accounts;holdings;persons_normalized_baseline;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf10_test_v1_param_only
q4_companies_reached_from_person_through_account_holding_listed_security__g2__embed_containment_children,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,primary,embedded_containment,G2,Person,sf10,hot,1,fiben_exec_sf10,completed,5,5,0,1.0,669,679,729,1.014947683109118,1.0896860986547086,True,True,True,False,False,False,False,False,False,False,COLLSCAN;EXPRESS_IXSCAN;FETCH;IXSCAN,PERSONID_1;_norm_ISHELDBY_1;_norm_ISOWNEDBY_1;_norm_SECURITYID_1,150E6C33;400A72A1;A4A8C3CE;D5623B4B;D75FAEE7,36789A5E;387E2BC7;79C4EEA8;CF2868AF;F4158575,0,123111.0,117751.0,184.02242152466368,1.0,135.24528301886792,636.0,corporations;financial_service_accounts;holdings;persons_with_containment;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf10_test_v1_param_only
