scale_label,query_name,candidate_id,final_benchmark_group,g_class,design_pattern,execution_status,n_components,sum_n_returned,sum_total_docs_examined,sum_total_keys_examined,has_IXSCAN,has_COLLSCAN,has_GROUP,sum_estimated_docs_examined_bytes,max_collection_avg_obj_size_bytes,collections_touched,source_results_dir
sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,q3_securities_held_in_each_financial_service_account__g2__embed_containment_children,primary,G2,embedded_containment,completed,3,5,5,9,True,False,False,2539.0,1779.0,financial_service_accounts_with_containment;listed_securities;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q3_sf1_test_v1
sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,q3_securities_held_in_each_financial_service_account__g3__association_references,primary,G3,association_references,completed,4,7,7,11,True,False,False,1798.0,560.0,financial_service_accounts_with_references;holdings;listed_securities;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q3_sf1_test_v1
sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,q3_securities_held_in_each_financial_service_account__g4__deep_nested_path,primary,G4,deep_nested_document,completed,3,5,5,9,True,False,False,2583.0,1823.0,financial_service_accounts_deep_nested;listed_securities;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q3_sf1_test_v1
sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,q3_securities_held_in_each_financial_service_account__g5__shared_targets_as_references,primary,G5,shared_target_reference_strategy,completed,4,7,7,12,True,False,False,1893.0,655.0,financial_service_accounts_shared_refs;holdings;listed_securities;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q3_sf1_test_v1
sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,q3_securities_held_in_each_financial_service_account__g7__update_aware_references,secondary_affected,G7,update_aware_reference_design,completed,4,7,7,12,True,False,False,1924.0,686.0,financial_service_accounts_update_aware;holdings;listed_securities;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q3_sf1_test_v1
sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,secondary_affected,G9,benchmark_tradeoff_alternative,completed,4,7,7,12,True,False,False,1926.0,688.0,financial_service_accounts_tradeoff;holdings;listed_securities;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q3_sf1_test_v1
sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,q4_companies_reached_from_person_through_account_holding_listed_security__control__normalized_reference_baseline,control,CONTROL,normalized_reference_baseline,completed,5,189,2453,190,True,True,False,1026532.0,713.0,corporations;financial_service_accounts;holdings;persons_normalized_baseline;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf1_test_v1
sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,q4_companies_reached_from_person_through_account_holding_listed_security__g2__embed_containment_children,primary,G2,embedded_containment,completed,5,189,2453,189,True,True,False,1026414.0,595.0,corporations;financial_service_accounts;holdings;persons_with_containment;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf1_test_v1
sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,q4_companies_reached_from_person_through_account_holding_listed_security__g3__association_references,primary,G3,association_references,completed,5,189,2453,190,True,True,False,1026471.0,652.0,corporations;financial_service_accounts;holdings;persons_with_references;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf1_test_v1
sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,q4_companies_reached_from_person_through_account_holding_listed_security__g4__deep_nested_path,primary,G4,deep_nested_document,completed,4,182,2446,182,True,True,False,1025218.0,1135.0,corporations;holdings;persons_deep_nested;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf1_test_v1
