query_id,dbsr_query_name,schemalens_best_config,schemalens_best_group,schemalens_p95_ms,dbsr_p95_ms,best_observed_method,best_observed_p95_ms,dbsr_regret_vs_schemalens,dbsr_regret_vs_best_observed,dbsr_within_5_percent_of_schemalens,schema_lens_returned_count,dbsr_returned_count,returned_count_ratio_dbsr_over_schemalens,semantic_parity_warning
Q1,Q1_CompanyProfileIBM,q1_company_profile_ibm__control__normalized_reference_baseline,control,0.233373,0.215286,DBSR,0.215286,-0.077503,0.0,True,1.0,1.0,1.0,
Q2,Q2_CompanyWithIndustryCountryAndListedSecurities,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,primary,0.117117,0.79163,SchemaLens,0.117117,5.759283,5.759283,False,1.0,1.0,1.0,
Q3,Q3_SecuritiesHeldInEachFinancialServiceAccount,q3_securities_held_in_each_financial_service_account__g5__shared_targets_as_references,primary,0.434946,8.885722,SchemaLens,0.434946,19.429477,19.429477,False,10.6,10.6,1.0,
Q4,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,q4_companies_reached_from_person_through_account_holding_listed_security__control__normalized_reference_baseline,control,1.002833,42.196069,SchemaLens,1.002833,41.076857,41.076857,False,53.6,53.6,1.0,
Q5,Q5_ReportsAndMetricDataOfCompany,q5_reports_and_metric_data_of_company__g2__embed_containment_children,primary,37.626791,12.35858,DBSR,12.35858,-0.671548,0.0,True,6801.0,6818.0,1.0025,
Q6,Q6_TechUSListedSecuritiesWithHighLastTradedValue,q6_tech_uslisted_securities_with_high_last_traded_value__g9__tradeoff_benchmark_candidate,secondary_affected,0.385924,0.425665,SchemaLens,0.385924,0.102977,0.102977,False,100.0,100.0,1.0,
Q7,Q7_PersonsWhoBoughtMoreIBMThanSold,q7_persons_who_bought_more_ibmthan_sold__g4__deep_nested_path,primary,1.186999,1.546273,SchemaLens,1.186999,0.302675,0.302675,False,97.0,97.0,1.0,
Q8,Q8_IBMTransactionsBelowAverageSellingPrice,q8_ibmtransactions_below_average_selling_price__g7__update_aware_references,secondary_affected,0.863551,1.567427,SchemaLens,0.863551,0.815095,0.815095,False,88.0,87.0,0.988636,
Q9,Q9_PersonsWhoBoughtAndSoldSameStock,q9_persons_who_bought_and_sold_same_stock__g7__update_aware_references,secondary_affected,0.851476,1.745873,SchemaLens,0.851476,1.050407,1.050407,False,0.3,0.3,1.0,
