benchmark_run_id,experiment_id,config_name,activated_class,benchmark_family,scale_factor,scale_label,mongo_db_name,selected_root,primary_collection,embedding_depth,embedding_variant,embedded_entities,snapshot_entities,referenced_entities,query_name,query_group,run_phase,phase_order,repetition,execution_status,error_message,start_ts,end_ts,latency_ms,success,documents_returned,documents_written,bytes_read_estimate,bytes_written_estimate,experiment_goal,query_group_order,execution_db_name,explain_verbosity,param_json,notes,n_components,sum_execution_time_ms,sum_n_returned,sum_total_docs_examined,sum_total_keys_examined,docs_per_returned_total,keys_per_returned_total,has_ixscan_any,has_collscan_any,has_fetch_any,has_sort_any,has_update_any,has_and_sorted_any,has_or_stage_any,has_projection_any,has_lookup_any,has_group_any,used_disk_any,all_stages,all_index_names,component_collections,unique_component_collection_count,sum_collection_count_unique,sum_collection_size_bytes_unique,sum_collection_storage_size_bytes_unique,sum_collection_total_index_size_bytes_unique,sum_collection_total_size_bytes_unique,max_collection_avg_obj_size_bytes,sum_estimated_docs_examined_bytes,sum_estimated_returned_bytes,estimated_examined_bytes_per_returned,max_docs_examined_collection_ratio,max_index_to_data_size_ratio
watchitem_g4_sf1__primary__QG5_AllPersonsForEpisodesOfSeries__hot__r01,watchitem_g4_sf1,watchitem_g4,G4,associative_family,1.0,sf1,imdb_mongo_sf1_watchitem_g4,WatchItem,watchitems,1,associative_partial,['Role'],[],"['Person', 'Series', 'Episode']",QG5_AllPersonsForEpisodesOfSeries,primary,hot,2,1,completed,,2026-06-02 13:07:42.957175+00:00,2026-06-02 13:07:43.041977+00:00,,,,,,,"Testar a configuração watchitem_g4 (G4) na família associative_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf1,executionStats,"""tt12164062""",,3,33.0,19093.0,19093.0,19234.0,1.0,1.007384905462735,True,False,True,False,False,False,False,True,False,False,False,PROJECTION_SIMPLE|FETCH|IXSCAN|EOF,series_watchitem_id_1|watchitem_id_1,episodes|persons|watchitems,3,21095387.0,15728617788.0,3155431424.0,1547673600.0,4703105024.0,1134.0,5029320.0,5029320.0,263.4117215733515,0.002026040057687603,0.14586444886880406
watchitem_g5_sf1__primary__QG5_AllPersonsForEpisodesOfSeries__hot__r01,watchitem_g5_sf1,watchitem_g5,G5,associative_family,1.0,sf1,imdb_mongo_sf1_watchitem_g5,WatchItem,watchitems,2,associative_snapshot,['Role'],['Person'],"['Series', 'Episode']",QG5_AllPersonsForEpisodesOfSeries,primary,hot,2,1,completed,,2026-06-02 16:16:37.197227+00:00,2026-06-02 16:16:37.273372+00:00,,,,,,,"Testar a configuração watchitem_g5 (G5) na família associative_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf1,executionStats,"""tt12164062""",,2,28.0,19093.0,19093.0,19234.0,1.0,1.007384905462735,True,False,True,False,False,False,False,True,False,False,False,PROJECTION_SIMPLE|FETCH|IXSCAN,series_watchitem_id_1|watchitem_id_1,episodes|watchitems,2,21095387.0,22832366785.0,4635803648.0,1547665408.0,6183469056.0,1730.0,5327320.0,5327320.0,279.0195359555858,0.002026040057687603,0.14586444886880406
watchitem_g6_sf1__primary__QG5_AllPersonsForEpisodesOfSeries__hot__r01,watchitem_g6_sf1,watchitem_g6,G6,associative_family,1.0,sf1,imdb_mongo_sf1_watchitem_g6,WatchItem,watchitems,2,associative_full,"['Role', 'Person']",[],"['Series', 'Episode']",QG5_AllPersonsForEpisodesOfSeries,primary,hot,2,1,completed,,2026-06-02 19:25:09.414777+00:00,2026-06-02 19:25:09.497564+00:00,,,,,,,"Testar a configuração watchitem_g6 (G6) na família associative_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf1,executionStats,"""tt12164062""",,2,34.0,19093.0,19093.0,19234.0,1.0,1.007384905462735,True,False,True,False,False,False,False,True,False,False,False,PROJECTION_SIMPLE|FETCH|IXSCAN,series_watchitem_id_1|watchitem_id_1,episodes|watchitems,2,21095387.0,28241504594.0,5807202304.0,1547759616.0,7354961920.0,2184.0,5554320.0,5554320.0,290.9087099984287,0.002026040057687603,0.14586444886880406
